,GPT-5,GPT-5,GPT-5,GPT-5,Sonnet 4,Sonnet 4,Sonnet 4,Sonnet 4,GPT 41 Mini,GPT 41 Mini,GPT 41 Mini,GPT 41 Mini
,Rubric Item,Overall Mean,Overall SD (across resp.),Avg. SD (within resp.),Rubric Item,Overall Mean,Overall SD (across resp.),Avg. SD (within resp.),Rubric Item,Overall Mean,Overall SD (across resp.),Avg. SD (within resp.)
0,Engagement with Evidence,2.602,1.151,0.318,Engagement with Evidence,2.255,1.0,0.259,Engagement with Evidence,2.512,1.073,0.494
1,Goal Orientation,2.589,0.765,0.284,Goal Orientation,2.547,0.804,0.381,Goal Orientation,2.996,0.838,0.342
2,Collaborative Decision-Making,2.701,1.099,0.324,Collaborative Decision-Making,2.488,0.975,0.385,Collaborative Decision-Making,2.228,1.218,0.489
3,Strategic Planning,2.758,0.84,0.346,Strategic Planning,2.671,0.835,0.406,Strategic Planning,2.804,0.961,0.423
4,Cultural Responsiveness,0.078,0.268,0.007,Cultural Responsiveness,0.074,0.262,0.013,Cultural Responsiveness,0.07,0.255,0.034
5,Parent/Community Engagement,0.055,0.228,0.036,Parent/Community Engagement,0.081,0.272,0.052,Parent/Community Engagement,0.115,0.319,0.129
6,Academic Achievement,0.464,0.499,0.082,Academic Achievement,0.453,0.498,0.138,Academic Achievement,0.484,0.5,0.174
7,Candidate Experience/Expertise,0.273,0.446,0.075,Candidate Experience/Expertise,0.348,0.477,0.102,Candidate Experience/Expertise,0.323,0.468,0.202
8,Evaluation,0.342,0.475,0.145,Evaluation,0.394,0.489,0.133,Evaluation,0.212,0.409,0.149
9,School Culture Fit,0.659,0.474,0.171,School Culture Fit,0.63,0.483,0.164,School Culture Fit,0.604,0.489,0.27
