,GPT-5,GPT-5,GPT-5,GPT-5,Sonnet 4,Sonnet 4,Sonnet 4,Sonnet 4,GPT 41 Mini,GPT 41 Mini,GPT 41 Mini,GPT 41 Mini
,Rubric Item,Overall Mean,Overall SD (across resp.),Avg. SD (within resp.),Rubric Item,Overall Mean,Overall SD (across resp.),Avg. SD (within resp.),Rubric Item,Overall Mean,Overall SD (across resp.),Avg. SD (within resp.)
0,Engagement with Evidence,2.532,1.162,0.367,Engagement with Evidence,2.236,0.991,0.27,Engagement with Evidence,2.256,1.052,0.57
1,Goal Orientation,2.523,0.767,0.344,Goal Orientation,2.447,0.723,0.333,Goal Orientation,2.891,0.843,0.394
2,Collaborative Decision-Making,2.62,1.084,0.316,Collaborative Decision-Making,2.484,0.939,0.402,Collaborative Decision-Making,2.232,1.208,0.549
3,Strategic Planning,2.676,0.864,0.387,Strategic Planning,2.584,0.801,0.42,Strategic Planning,2.735,0.955,0.43
4,Cultural Responsiveness,0.074,0.262,0.013,Cultural Responsiveness,0.077,0.267,0.019,Cultural Responsiveness,0.088,0.284,0.055
5,Parent/Community Engagement,0.044,0.206,0.04,Parent/Community Engagement,0.092,0.289,0.061,Parent/Community Engagement,0.1,0.3,0.132
6,Academic Achievement,0.45,0.498,0.121,Academic Achievement,0.442,0.497,0.144,Academic Achievement,0.507,0.5,0.147
7,Candidate Experience/Expertise,0.291,0.454,0.112,Candidate Experience/Expertise,0.395,0.489,0.141,Candidate Experience/Expertise,0.3,0.458,0.232
8,Evaluation,0.3,0.458,0.147,Evaluation,0.362,0.481,0.153,Evaluation,0.235,0.424,0.155
9,School Culture Fit,0.44,0.497,0.238,School Culture Fit,0.552,0.497,0.218,School Culture Fit,0.524,0.5,0.326
