record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name
264478,gpt-4.1-mini,3,2,4,3,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
190056,gpt-4.1-mini,2,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
524784,gpt-4.1-mini,4,2,2,4,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
576254,gpt-4.1-mini,2,3,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
700128,gpt-4.1-mini,2,1,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
167524,gpt-4.1-mini,3,1,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
546868,gpt-4.1-mini,2,3,2,3,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
613961,gpt-4.1-mini,4,2,1,4,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
586617,gpt-4.1-mini,3,1,4,3,0,0,1,1,1,0,0,Testing Prompt: 0.25264110388990213
216965,gpt-4.1-mini,3,3,2,3,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
561983,gpt-4.1-mini,4,3,1,4,1,0,1,1,1,1,0,Testing Prompt: 0.25264110388990213
263864,gpt-4.1-mini,4,3,2,4,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
248896,gpt-4.1-mini,2,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
238025,gpt-4.1-mini,4,3,3,4,0,0,1,1,1,0,0,Testing Prompt: 0.25264110388990213
564167,gpt-4.1-mini,3,3,2,3,0,0,1,1,1,1,0,Testing Prompt: 0.25264110388990213
534868,gpt-4.1-mini,2,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
263413,gpt-4.1-mini,4,3,1,4,0,0,1,0,1,1,0,Testing Prompt: 0.25264110388990213
257325,gpt-4.1-mini,3,3,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
640700,gpt-4.1-mini,3,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.25264110388990213
607920,gpt-4.1-mini,2,1,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
172253,gpt-4.1-mini,3,4,4,3,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
615578,gpt-4.1-mini,4,3,4,4,1,0,1,1,1,1,0,Testing Prompt: 0.25264110388990213
293411,gpt-4.1-mini,2,2,2,2,1,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
601728,gpt-4.1-mini,2,3,1,2,0,0,1,0,1,0,0,Testing Prompt: 0.25264110388990213
264262,gpt-4.1-mini,2,1,1,2,1,0,0,1,0,0,0,Testing Prompt: 0.25264110388990213
703584,gpt-4.1-mini,3,2,1,3,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
195235,gpt-4.1-mini,3,2,1,2,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
584423,gpt-4.1-mini,3,2,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
528543,gpt-4.1-mini,4,2,2,3,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
735055,gpt-4.1-mini,4,2,2,4,0,0,0,0,1,1,0,Testing Prompt: 0.25264110388990213
591948,gpt-4.1-mini,4,4,1,3,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
242166,gpt-4.1-mini,3,2,4,3,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
561604,gpt-4.1-mini,3,1,1,3,0,0,0,1,0,0,0,Testing Prompt: 0.25264110388990213
551252,gpt-4.1-mini,4,3,4,4,0,1,1,1,1,1,0,Testing Prompt: 0.25264110388990213
274347,gpt-4.1-mini,4,4,4,4,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
543229,gpt-4.1-mini,4,3,1,3,0,1,0,0,0,0,0,Testing Prompt: 0.25264110388990213
226773,gpt-4.1-mini,4,3,4,4,0,1,0,0,1,1,0,Testing Prompt: 0.25264110388990213
614816,gpt-4.1-mini,4,2,4,4,0,0,0,0,1,1,0,Testing Prompt: 0.25264110388990213
630563,gpt-4.1-mini,3,3,2,2,0,1,0,0,0,1,0,Testing Prompt: 0.25264110388990213
588075,gpt-4.1-mini,3,2,1,3,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
217052,gpt-4.1-mini,2,1,1,1,0,1,0,0,0,1,0,Testing Prompt: 0.25264110388990213
581720,gpt-4.1-mini,4,4,4,4,1,0,1,1,1,1,0,Testing Prompt: 0.25264110388990213
573597,gpt-4.1-mini,3,2,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.25264110388990213
244029,gpt-4.1-mini,4,4,1,4,0,0,1,1,0,0,0,Testing Prompt: 0.25264110388990213
600997,gpt-4.1-mini,4,4,4,4,0,0,1,1,1,1,0,Testing Prompt: 0.25264110388990213
632387,gpt-4.1-mini,2,3,2,2,0,1,0,0,0,0,0,Testing Prompt: 0.25264110388990213
557524,gpt-4.1-mini,2,2,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.25264110388990213
282284,gpt-4.1-mini,3,3,1,3,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
240687,gpt-4.1-mini,2,3,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
225646,gpt-4.1-mini,3,3,1,3,0,0,0,1,0,1,0,Testing Prompt: 0.25264110388990213
529099,gpt-4.1-mini,3,3,1,3,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
211179,gpt-4.1-mini,2,2,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.25264110388990213
706907,gpt-4.1-mini,3,3,1,3,0,0,1,1,1,0,0,Testing Prompt: 0.25264110388990213
248731,gpt-4.1-mini,3,3,4,3,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
211283,gpt-4.1-mini,4,3,4,4,0,1,0,0,0,1,0,Testing Prompt: 0.25264110388990213
264344,gpt-4.1-mini,4,3,1,4,0,0,1,0,0,0,0,Testing Prompt: 0.25264110388990213
207524,gpt-4.1-mini,3,3,1,3,0,0,1,0,0,0,0,Testing Prompt: 0.25264110388990213
545047,gpt-4.1-mini,3,3,1,3,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
208682,gpt-4.1-mini,3,3,4,3,0,0,1,1,1,0,0,Testing Prompt: 0.25264110388990213
207845,gpt-4.1-mini,3,3,2,3,1,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
556668,gpt-4.1-mini,2,1,4,2,0,0,1,1,1,1,0,Testing Prompt: 0.25264110388990213
525710,gpt-4.1-mini,4,4,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.25264110388990213
643006,gpt-4.1-mini,3,3,3,3,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
613126,gpt-4.1-mini,4,3,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
600843,gpt-4.1-mini,2,1,1,2,0,1,0,1,0,1,0,Testing Prompt: 0.25264110388990213
641013,gpt-4.1-mini,3,3,3,3,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
247781,gpt-4.1-mini,3,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
248235,gpt-4.1-mini,4,4,3,4,0,0,1,1,0,1,0,Testing Prompt: 0.25264110388990213
704786,gpt-4.1-mini,3,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.25264110388990213
188529,gpt-4.1-mini,3,3,1,3,0,0,1,0,1,1,0,Testing Prompt: 0.25264110388990213
231173,gpt-4.1-mini,4,3,3,3,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
174997,gpt-4.1-mini,2,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
238271,gpt-4.1-mini,4,3,4,4,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
601747,gpt-4.1-mini,1,1,1,1,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
232366,gpt-4.1-mini,3,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
590085,gpt-4.1-mini,3,3,2,3,0,0,1,1,0,0,0,Testing Prompt: 0.25264110388990213
291285,gpt-4.1-mini,4,3,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
529141,gpt-4.1-mini,1,1,1,1,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
717614,gpt-4.1-mini,2,2,2,2,0,1,0,0,0,0,0,Testing Prompt: 0.25264110388990213
184927,gpt-4.1-mini,4,4,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.25264110388990213
225577,gpt-4.1-mini,3,3,2,3,0,0,0,0,1,0,0,Testing Prompt: 0.25264110388990213
530371,gpt-4.1-mini,4,4,3,4,0,0,1,1,0,1,0,Testing Prompt: 0.25264110388990213
511739,gpt-4.1-mini,2,2,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
505173,gpt-4.1-mini,4,4,4,4,0,0,1,1,1,1,0,Testing Prompt: 0.25264110388990213
503131,gpt-4.1-mini,2,3,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
215179,gpt-4.1-mini,2,2,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
218810,gpt-4.1-mini,2,2,2,2,0,0,0,1,0,1,0,Testing Prompt: 0.25264110388990213
219176,gpt-4.1-mini,4,4,2,4,0,0,1,1,1,0,0,Testing Prompt: 0.25264110388990213
580333,gpt-4.1-mini,2,2,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
644531,gpt-4.1-mini,4,4,3,4,0,0,0,1,0,1,0,Testing Prompt: 0.25264110388990213
534553,gpt-4.1-mini,3,3,1,3,0,0,1,0,0,0,0,Testing Prompt: 0.25264110388990213
225581,gpt-4.1-mini,4,4,3,4,1,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
266177,gpt-4.1-mini,3,2,3,3,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
558582,gpt-4.1-mini,2,1,2,1,0,0,0,0,1,0,0,Testing Prompt: 0.25264110388990213
555531,gpt-4.1-mini,3,2,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
215108,gpt-4.1-mini,4,4,4,4,0,0,1,0,1,1,0,Testing Prompt: 0.25264110388990213
247482,gpt-4.1-mini,3,4,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.25264110388990213
704896,gpt-4.1-mini,3,3,1,3,0,0,0,1,0,0,0,Testing Prompt: 0.25264110388990213
550903,gpt-4.1-mini,4,4,4,4,0,1,1,0,1,0,0,Testing Prompt: 0.25264110388990213
628747,gpt-4.1-mini,3,3,2,3,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
575601,gpt-4.1-mini,3,3,2,2,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
253693,gpt-4.1-mini,4,3,4,4,0,0,1,1,1,1,0,Testing Prompt: 0.25264110388990213
242085,gpt-4.1-mini,3,1,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.25264110388990213
249730,gpt-4.1-mini,2,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.25264110388990213
200051,gpt-4.1-mini,3,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.25264110388990213
257040,gpt-4.1-mini,3,3,4,3,0,1,1,0,0,1,0,Testing Prompt: 0.25264110388990213
512243,gpt-4.1-mini,2,1,2,2,0,1,0,0,0,1,0,Testing Prompt: 0.25264110388990213
506571,gpt-4.1-mini,4,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.25264110388990213
505194,gpt-4.1-mini,3,3,1,3,0,0,0,0,0,1,0,Testing Prompt: 0.25264110388990213
546578,gpt-4.1-mini,3,1,1,2,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
543094,gpt-4.1-mini,3,4,3,3,0,0,1,0,0,1,0,Testing Prompt: 0.25264110388990213
585389,gpt-4.1-mini,3,1,4,2,0,0,0,1,1,1,0,Testing Prompt: 0.25264110388990213
217400,gpt-4.1-mini,3,1,1,2,0,0,0,1,0,1,0,Testing Prompt: 0.25264110388990213
