record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name
263413,gpt-4.1-mini,4,4,3,4,0,0,1,1,0,0,0,Testing Prompt: 0.6973533180714837
704786,gpt-4.1-mini,2,3,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.6973533180714837
274347,gpt-4.1-mini,4,4,4,4,0,0,1,0,0,0,0,Testing Prompt: 0.6973533180714837
188529,gpt-4.1-mini,2,2,1,1,0,0,1,0,1,0,0,Testing Prompt: 0.6973533180714837
211179,gpt-4.1-mini,2,1,1,1,0,0,0,1,0,0,0,Testing Prompt: 0.6973533180714837
238271,gpt-4.1-mini,3,3,4,3,0,0,1,0,0,1,0,Testing Prompt: 0.6973533180714837
231173,gpt-4.1-mini,4,4,4,4,0,1,1,0,0,0,0,Testing Prompt: 0.6973533180714837
584423,gpt-4.1-mini,3,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.6973533180714837
257040,gpt-4.1-mini,3,2,4,3,0,1,1,0,0,1,0,Testing Prompt: 0.6973533180714837
242085,gpt-4.1-mini,3,2,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.6973533180714837
219176,gpt-4.1-mini,4,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.6973533180714837
613126,gpt-4.1-mini,4,4,4,4,0,1,1,1,0,1,0,Testing Prompt: 0.6973533180714837
248731,gpt-4.1-mini,2,3,3,3,0,0,0,0,0,0,0,Testing Prompt: 0.6973533180714837
735055,gpt-4.1-mini,3,3,3,3,0,0,0,0,1,1,0,Testing Prompt: 0.6973533180714837
257325,gpt-4.1-mini,3,3,4,3,0,0,0,0,0,1,0,Testing Prompt: 0.6973533180714837
643006,gpt-4.1-mini,3,3,1,3,0,0,1,1,0,1,0,Testing Prompt: 0.6973533180714837
207524,gpt-4.1-mini,3,3,1,3,0,0,0,1,0,0,0,Testing Prompt: 0.6973533180714837
232366,gpt-4.1-mini,3,1,1,3,0,0,0,1,0,0,0,Testing Prompt: 0.6973533180714837
248235,gpt-4.1-mini,4,4,3,4,0,0,1,1,0,0,0,Testing Prompt: 0.6973533180714837
601728,gpt-4.1-mini,3,3,1,3,0,0,1,0,0,0,0,Testing Prompt: 0.6973533180714837
215179,gpt-4.1-mini,2,1,2,1,0,0,0,0,0,1,0,Testing Prompt: 0.6973533180714837
247482,gpt-4.1-mini,3,3,3,3,0,1,1,1,1,1,0,Testing Prompt: 0.6973533180714837
555531,gpt-4.1-mini,2,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.6973533180714837
264478,gpt-4.1-mini,3,3,4,3,0,1,0,0,0,1,0,Testing Prompt: 0.6973533180714837
217052,gpt-4.1-mini,2,1,1,1,0,1,0,0,0,1,0,Testing Prompt: 0.6973533180714837
600843,gpt-4.1-mini,2,1,1,2,0,1,0,1,0,1,0,Testing Prompt: 0.6973533180714837
575601,gpt-4.1-mini,2,2,2,1,0,0,0,0,0,1,0,Testing Prompt: 0.6973533180714837
573597,gpt-4.1-mini,3,2,1,3,0,0,1,0,0,0,0,Testing Prompt: 0.6973533180714837
264344,gpt-4.1-mini,4,3,4,4,0,0,1,0,0,1,0,Testing Prompt: 0.6973533180714837
551252,gpt-4.1-mini,3,4,4,4,0,1,1,0,1,1,0,Testing Prompt: 0.6973533180714837
503131,gpt-4.1-mini,2,3,1,1,0,0,1,0,0,1,0,Testing Prompt: 0.6973533180714837
