record_id,Scorer Name,Goal Orientation,Engaging with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name
266177,gpt-5,2,1,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.08098902357448567
253693,gpt-5,3,1,4,3,0,0,0,0,1,1,0,Testing Prompt: 0.08098902357448567
528543,gpt-5,4,4,1,4,0,0,0,0,0,1,0,Testing Prompt: 0.08098902357448567
557524,gpt-5,2,1,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.08098902357448567
600997,gpt-5,4,4,1,4,0,0,1,1,1,1,0,Testing Prompt: 0.08098902357448567
248731,gpt-5,2,2,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.08098902357448567
576254,gpt-5,2,3,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.08098902357448567
546868,gpt-5,2,3,3,3,0,0,0,0,0,0,0,Testing Prompt: 0.08098902357448567
524784,gpt-5,4,3,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.08098902357448567
534868,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.08098902357448567
591948,gpt-5,2,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.08098902357448567
543229,gpt-5,4,3,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.08098902357448567
628747,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.08098902357448567
242085,gpt-5,4,2,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.08098902357448567
215179,gpt-5,2,1,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.08098902357448567
264262,gpt-5,2,1,2,3,0,0,0,0,0,0,0,Testing Prompt: 0.08098902357448567
263413,gpt-5,4,4,2,4,0,0,1,1,1,1,0,Testing Prompt: 0.08098902357448567
614816,gpt-5,3,1,4,3,0,0,0,0,1,1,0,Testing Prompt: 0.08098902357448567
231173,gpt-5,4,4,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.08098902357448567
505194,gpt-5,3,2,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.08098902357448567
216965,gpt-5,3,4,3,3,0,1,0,0,0,1,0,Testing Prompt: 0.08098902357448567
581720,gpt-5,4,4,3,4,1,0,1,0,1,1,0,Testing Prompt: 0.08098902357448567
717614,gpt-5,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.08098902357448567
586617,gpt-5,4,2,4,4,0,0,1,1,0,1,0,Testing Prompt: 0.08098902357448567
584423,gpt-5,2,2,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.08098902357448567
643006,gpt-5,3,3,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.08098902357448567
551252,gpt-5,2,1,4,2,0,0,0,1,1,1,0,Testing Prompt: 0.08098902357448567
590085,gpt-5,3,3,1,3,0,0,1,1,1,0,0,Testing Prompt: 0.08098902357448567
600843,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.08098902357448567
