record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name, degrade field,Evaluation pipelines
703584,gpt-5,2,1,1,2,0,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
561983,gpt-5,4,3,1,4,1,0,0,1,1,1,0,Testing Prompt: 0.020562719870066637,,
174997,gpt-5,2,1,3,3,0,0,0,1,0,0,0,Testing Prompt: 0.020562719870066637,,
585389,gpt-5,2,1,3,2,0,0,0,0,1,0,0,Testing Prompt: 0.020562719870066637,,
263864,gpt-5,4,3,1,4,0,0,1,1,0,1,0,Testing Prompt: 0.020562719870066637,,
240687,gpt-5,2,4,3,2,0,0,1,0,1,0,0,Testing Prompt: 0.020562719870066637,,
700128,gpt-5,2,3,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
591948,gpt-5,3,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
601728,gpt-5,2,4,1,2,0,0,1,0,1,0,0,Testing Prompt: 0.020562719870066637,,
274347,gpt-5,4,4,4,4,0,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
247482,gpt-5,3,4,4,2,0,0,1,1,1,1,0,Testing Prompt: 0.020562719870066637,,
706907,gpt-5,2,3,4,3,0,0,1,0,1,1,0,Testing Prompt: 0.020562719870066637,,
248731,gpt-5,3,4,4,4,0,0,1,0,1,1,0,Testing Prompt: 0.020562719870066637,,
644531,gpt-5,3,3,3,3,0,0,1,1,0,1,0,Testing Prompt: 0.020562719870066637,,
543094,gpt-5,3,4,4,2,0,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
511739,gpt-5,2,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
550903,gpt-5,4,3,4,3,0,1,1,0,1,1,0,Testing Prompt: 0.020562719870066637,,
546578,gpt-5,3,2,1,2,0,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
215179,gpt-5,2,1,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
188529,gpt-5,3,2,1,2,0,0,1,0,1,0,0,Testing Prompt: 0.020562719870066637,,
264478,gpt-5,2,2,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
588075,gpt-5,2,2,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.020562719870066637,,
247781,gpt-5,2,4,4,3,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
600997,gpt-5,4,4,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.020562719870066637,,
628747,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
264262,gpt-5,2,1,2,2,0,0,0,0,0,0,0,Testing Prompt: 0.020562719870066637,,
505194,gpt-5,2,2,3,3,0,0,0,0,1,0,0,Testing Prompt: 0.020562719870066637,,
217400,gpt-5,2,1,3,2,0,0,1,0,0,0,0,Testing Prompt: 0.020562719870066637,,
558582,gpt-5,2,1,3,2,0,0,0,0,1,1,0,Testing Prompt: 0.020562719870066637,,
613126,gpt-5,4,4,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
613961,gpt-5,3,3,3,3,0,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
643006,gpt-5,3,3,3,4,0,0,1,0,1,1,0,Testing Prompt: 0.020562719870066637,,
564167,gpt-5,3,4,1,3,1,0,1,1,1,1,0,Testing Prompt: 0.020562719870066637,,
200051,gpt-5,3,3,1,2,0,0,1,0,0,0,0,Testing Prompt: 0.020562719870066637,,
232366,gpt-5,3,3,1,2,0,0,1,0,0,0,0,Testing Prompt: 0.020562719870066637,,
614816,gpt-5,2,2,4,3,0,0,0,0,1,1,0,Testing Prompt: 0.020562719870066637,,
218810,gpt-5,2,1,3,2,0,0,1,1,0,1,0,Testing Prompt: 0.020562719870066637,,
512243,gpt-5,2,2,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.020562719870066637,,
211179,gpt-5,2,1,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.020562719870066637,,
231173,gpt-5,4,4,4,4,0,0,1,0,0,1,0,Testing Prompt: 0.020562719870066637,,
