record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name
225581,us.anthropic.claude-sonnet-4-20250514-v1:0,4,4,2,4,1,0,1,1,0,1,0,Testing Prompt: 0.5893175813406224
584423,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
253693,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,4,3,0,0,0,0,1,0,0,Testing Prompt: 0.5893175813406224
190056,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,1,0,0,0,0,0,0,Testing Prompt: 0.5893175813406224
264262,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.5893175813406224
530371,us.anthropic.claude-sonnet-4-20250514-v1:0,4,3,1,4,0,0,1,1,0,0,0,Testing Prompt: 0.5893175813406224
632387,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,3,0,0,0,0,0,0,0,Testing Prompt: 0.5893175813406224
247482,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,1,1,1,1,0,0,Testing Prompt: 0.5893175813406224
274347,us.anthropic.claude-sonnet-4-20250514-v1:0,4,4,4,4,0,0,1,0,0,0,0,Testing Prompt: 0.5893175813406224
207524,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,0,0,0,0,Testing Prompt: 0.5893175813406224
600843,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,1,0,0,0,1,0,Testing Prompt: 0.5893175813406224
184927,us.anthropic.claude-sonnet-4-20250514-v1:0,4,4,3,4,0,0,1,1,0,1,0,Testing Prompt: 0.5893175813406224
524784,us.anthropic.claude-sonnet-4-20250514-v1:0,4,1,4,4,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
257040,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,4,3,0,0,1,0,0,0,0,Testing Prompt: 0.5893175813406224
503131,us.anthropic.claude-sonnet-4-20250514-v1:0,3,4,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
264478,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,4,3,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
613961,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,4,3,0,0,1,1,0,0,0,Testing Prompt: 0.5893175813406224
244029,us.anthropic.claude-sonnet-4-20250514-v1:0,4,4,3,4,0,0,1,0,0,0,0,Testing Prompt: 0.5893175813406224
561983,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,3,1,0,0,1,1,0,0,Testing Prompt: 0.5893175813406224
247781,us.anthropic.claude-sonnet-4-20250514-v1:0,3,4,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
546578,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,1,1,0,0,1,0,0,1,0,Testing Prompt: 0.5893175813406224
232366,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.5893175813406224
263864,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,1,3,0,0,1,1,0,1,0,Testing Prompt: 0.5893175813406224
557524,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
291285,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,1,1,1,0,Testing Prompt: 0.5893175813406224
576254,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,1,2,0,0,0,0,1,1,0,Testing Prompt: 0.5893175813406224
238271,us.anthropic.claude-sonnet-4-20250514-v1:0,4,1,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.5893175813406224
643006,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.5893175813406224
200051,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.5893175813406224
505194,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,3,3,0,0,0,1,1,1,0,Testing Prompt: 0.5893175813406224
249730,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,1,1,0,0,0,0,0,0,0,Testing Prompt: 0.5893175813406224
613126,us.anthropic.claude-sonnet-4-20250514-v1:0,4,3,3,4,0,0,1,1,0,1,0,Testing Prompt: 0.5893175813406224
704896,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,1,2,0,0,0,1,0,1,0,Testing Prompt: 0.5893175813406224
630563,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
644531,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,1,0,1,0,Testing Prompt: 0.5893175813406224
226773,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,0,0,1,1,0,Testing Prompt: 0.5893175813406224
586617,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,3,3,0,0,1,1,1,1,0,Testing Prompt: 0.5893175813406224
534868,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,0,1,1,0,Testing Prompt: 0.5893175813406224
195235,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,2,0,0,1,0,0,1,0,Testing Prompt: 0.5893175813406224
264344,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,0,0,1,0,Testing Prompt: 0.5893175813406224
293411,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,1,1,0,0,0,1,0,Testing Prompt: 0.5893175813406224
263413,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,1,0,1,0,Testing Prompt: 0.5893175813406224
506571,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,0,1,1,0,0,0,Testing Prompt: 0.5893175813406224
700128,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
534553,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.5893175813406224
543094,us.anthropic.claude-sonnet-4-20250514-v1:0,3,4,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
550903,us.anthropic.claude-sonnet-4-20250514-v1:0,4,1,3,4,0,1,1,0,1,1,0,Testing Prompt: 0.5893175813406224
266177,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,3,3,0,0,0,0,1,1,0,Testing Prompt: 0.5893175813406224
591948,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
217400,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,1,3,0,0,0,0,0,0,0,Testing Prompt: 0.5893175813406224
219176,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,1,3,0,1,1,1,0,0,0,Testing Prompt: 0.5893175813406224
590085,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,1,3,0,0,0,1,0,0,0,Testing Prompt: 0.5893175813406224
545047,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,2,2,0,0,0,1,0,0,0,Testing Prompt: 0.5893175813406224
581720,us.anthropic.claude-sonnet-4-20250514-v1:0,4,4,3,4,1,0,1,0,1,1,0,Testing Prompt: 0.5893175813406224
601728,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,0,0,1,0,0,Testing Prompt: 0.5893175813406224
615578,us.anthropic.claude-sonnet-4-20250514-v1:0,4,3,3,4,1,0,1,0,1,1,0,Testing Prompt: 0.5893175813406224
172253,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
558582,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,3,1,0,0,0,0,1,1,0,Testing Prompt: 0.5893175813406224
528543,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
211179,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.5893175813406224
525710,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,1,1,0,1,0,Testing Prompt: 0.5893175813406224
505173,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,4,3,0,0,0,1,1,1,0,Testing Prompt: 0.5893175813406224
174997,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,2,2,0,0,0,1,0,0,0,Testing Prompt: 0.5893175813406224
238025,us.anthropic.claude-sonnet-4-20250514-v1:0,4,4,1,4,0,0,1,0,0,0,0,Testing Prompt: 0.5893175813406224
529099,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,3,0,0,0,0,1,1,0,Testing Prompt: 0.5893175813406224
556668,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,4,2,0,0,1,0,1,1,0,Testing Prompt: 0.5893175813406224
588075,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,3,0,0,0,0,0,0,0,Testing Prompt: 0.5893175813406224
640700,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.5893175813406224
564167,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,1,0,1,1,1,1,0,Testing Prompt: 0.5893175813406224
215108,us.anthropic.claude-sonnet-4-20250514-v1:0,4,2,4,4,1,0,1,0,1,1,0,Testing Prompt: 0.5893175813406224
575601,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.5893175813406224
218810,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,1,0,1,0,Testing Prompt: 0.5893175813406224
