record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name
700128,gpt-4.1-mini,2,1,3,2,0,1,0,0,0,1,0,Testing Prompt: 0.8072689992124116
190056,gpt-4.1-mini,2,2,1,2,0,1,0,0,0,1,0,Testing Prompt: 0.8072689992124116
704896,gpt-4.1-mini,3,2,1,3,0,0,0,1,0,0,0,Testing Prompt: 0.8072689992124116
588075,gpt-4.1-mini,3,3,3,3,0,0,0,0,0,0,0,Testing Prompt: 0.8072689992124116
264262,gpt-4.1-mini,2,1,2,2,0,0,0,0,0,0,0,Testing Prompt: 0.8072689992124116
591948,gpt-4.1-mini,4,4,3,4,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
630563,gpt-4.1-mini,3,3,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
238271,gpt-4.1-mini,4,3,4,4,0,0,1,0,1,1,0,Testing Prompt: 0.8072689992124116
253693,gpt-4.1-mini,4,3,4,4,0,0,0,0,1,1,0,Testing Prompt: 0.8072689992124116
581720,gpt-4.1-mini,4,4,4,4,1,0,1,0,1,1,0,Testing Prompt: 0.8072689992124116
506571,gpt-4.1-mini,3,3,2,3,0,0,1,1,0,0,0,Testing Prompt: 0.8072689992124116
600997,gpt-4.1-mini,4,4,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.8072689992124116
225646,gpt-4.1-mini,3,2,1,3,0,0,0,1,0,0,0,Testing Prompt: 0.8072689992124116
534553,gpt-4.1-mini,3,2,1,3,0,0,1,0,0,0,0,Testing Prompt: 0.8072689992124116
215179,gpt-4.1-mini,2,1,1,2,0,1,0,0,0,1,0,Testing Prompt: 0.8072689992124116
704786,gpt-4.1-mini,3,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.8072689992124116
225581,gpt-4.1-mini,4,4,3,4,1,0,1,1,0,1,0,Testing Prompt: 0.8072689992124116
226773,gpt-4.1-mini,3,3,4,3,0,0,0,0,1,1,0,Testing Prompt: 0.8072689992124116
546868,gpt-4.1-mini,3,3,3,3,0,1,0,0,0,0,0,Testing Prompt: 0.8072689992124116
600843,gpt-4.1-mini,2,1,3,2,0,1,0,0,0,1,0,Testing Prompt: 0.8072689992124116
263413,gpt-4.1-mini,4,4,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.8072689992124116
257325,gpt-4.1-mini,3,3,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
240687,gpt-4.1-mini,2,3,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.8072689992124116
585389,gpt-4.1-mini,1,1,4,1,0,0,0,0,1,1,0,Testing Prompt: 0.8072689992124116
640700,gpt-4.1-mini,3,4,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.8072689992124116
195235,gpt-4.1-mini,3,3,1,2,0,0,1,0,0,0,0,Testing Prompt: 0.8072689992124116
706907,gpt-4.1-mini,2,3,1,2,0,0,1,0,1,0,0,Testing Prompt: 0.8072689992124116
525710,gpt-4.1-mini,4,4,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.8072689992124116
546578,gpt-4.1-mini,2,1,1,1,0,0,1,0,0,0,0,Testing Prompt: 0.8072689992124116
528543,gpt-4.1-mini,3,3,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
248731,gpt-4.1-mini,3,3,4,4,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
248896,gpt-4.1-mini,3,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.8072689992124116
644531,gpt-4.1-mini,4,3,3,4,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
274347,gpt-4.1-mini,4,4,4,4,0,0,1,0,0,0,0,Testing Prompt: 0.8072689992124116
561983,gpt-4.1-mini,3,2,1,3,1,0,1,1,1,1,0,Testing Prompt: 0.8072689992124116
505194,gpt-4.1-mini,3,3,3,3,0,0,1,0,0,1,0,Testing Prompt: 0.8072689992124116
601747,gpt-4.1-mini,1,1,1,1,0,0,0,0,0,0,0,Testing Prompt: 0.8072689992124116
172253,gpt-4.1-mini,3,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
217400,gpt-4.1-mini,3,1,1,2,0,0,0,1,0,1,0,Testing Prompt: 0.8072689992124116
614816,gpt-4.1-mini,4,3,4,4,0,0,0,0,1,1,0,Testing Prompt: 0.8072689992124116
703584,gpt-4.1-mini,3,2,1,2,0,0,1,0,0,1,0,Testing Prompt: 0.8072689992124116
215108,gpt-4.1-mini,4,4,3,4,1,0,1,0,0,0,0,Testing Prompt: 0.8072689992124116
511739,gpt-4.1-mini,1,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
573597,gpt-4.1-mini,3,4,1,3,0,0,1,0,0,1,0,Testing Prompt: 0.8072689992124116
188529,gpt-4.1-mini,2,3,2,1,0,0,1,0,0,0,0,Testing Prompt: 0.8072689992124116
584423,gpt-4.1-mini,2,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
613126,gpt-4.1-mini,4,4,4,4,0,0,1,1,0,1,0,Testing Prompt: 0.8072689992124116
207524,gpt-4.1-mini,3,3,1,3,0,0,0,0,0,0,0,Testing Prompt: 0.8072689992124116
264478,gpt-4.1-mini,2,2,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
211179,gpt-4.1-mini,2,2,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.8072689992124116
247781,gpt-4.1-mini,3,3,1,3,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
717614,gpt-4.1-mini,2,1,2,1,0,0,0,0,0,0,0,Testing Prompt: 0.8072689992124116
557524,gpt-4.1-mini,2,1,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
242085,gpt-4.1-mini,3,1,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.8072689992124116
231173,gpt-4.1-mini,4,4,1,4,0,1,1,0,0,1,0,Testing Prompt: 0.8072689992124116
643006,gpt-4.1-mini,3,4,1,3,0,0,1,1,0,1,0,Testing Prompt: 0.8072689992124116
257040,gpt-4.1-mini,4,3,4,3,0,1,1,0,0,1,0,Testing Prompt: 0.8072689992124116
293411,gpt-4.1-mini,2,1,1,1,1,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
556668,gpt-4.1-mini,3,1,4,2,0,0,0,0,1,1,0,Testing Prompt: 0.8072689992124116
555531,gpt-4.1-mini,2,3,1,2,0,0,1,0,1,0,0,Testing Prompt: 0.8072689992124116
266177,gpt-4.1-mini,3,2,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
211283,gpt-4.1-mini,4,4,4,4,0,0,0,0,0,1,0,Testing Prompt: 0.8072689992124116
217052,gpt-4.1-mini,2,1,1,1,0,1,0,0,0,1,0,Testing Prompt: 0.8072689992124116
512243,gpt-4.1-mini,2,1,3,1,0,1,0,0,0,1,0,Testing Prompt: 0.8072689992124116
200051,gpt-4.1-mini,3,1,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.8072689992124116
