record_id,Scorer Name,Goal Orientation,Engaging with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name
282284,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
641013,gpt-5,3,2,3,2,0,0,0,0,1,1,0,Testing Prompt: 0.31654922945131825
248235,gpt-5,3,3,3,4,0,1,1,0,0,1,0,Testing Prompt: 0.31654922945131825
615578,gpt-5,4,3,3,4,1,0,1,1,1,1,0,Testing Prompt: 0.31654922945131825
249730,gpt-5,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.31654922945131825
529099,gpt-5,2,1,3,3,0,0,0,0,1,1,0,Testing Prompt: 0.31654922945131825
561983,gpt-5,3,3,2,3,1,0,0,1,1,1,0,Testing Prompt: 0.31654922945131825
244029,gpt-5,4,4,4,4,0,0,1,0,1,0,0,Testing Prompt: 0.31654922945131825
225581,gpt-5,4,4,3,4,1,0,1,1,0,1,0,Testing Prompt: 0.31654922945131825
543094,gpt-5,3,4,4,3,0,0,1,0,0,1,0,Testing Prompt: 0.31654922945131825
242085,gpt-5,2,2,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.31654922945131825
550903,gpt-5,2,1,4,3,1,1,1,0,1,1,0,Testing Prompt: 0.31654922945131825
591948,gpt-5,2,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
590085,gpt-5,3,3,1,4,0,0,1,1,1,0,0,Testing Prompt: 0.31654922945131825
167524,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
293411,gpt-5,2,1,3,2,1,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
530371,gpt-5,4,3,3,4,0,0,1,1,0,0,0,Testing Prompt: 0.31654922945131825
257325,gpt-5,3,3,4,3,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
601728,gpt-5,3,3,3,3,0,0,0,0,1,0,0,Testing Prompt: 0.31654922945131825
551252,gpt-5,2,2,4,3,0,0,0,1,1,1,0,Testing Prompt: 0.31654922945131825
581720,gpt-5,4,4,3,3,1,0,1,0,0,1,0,Testing Prompt: 0.31654922945131825
607920,gpt-5,2,1,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
580333,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
172253,gpt-5,2,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
215179,gpt-5,2,2,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
200051,gpt-5,3,3,1,3,0,0,1,0,0,0,0,Testing Prompt: 0.31654922945131825
613961,gpt-5,4,4,1,4,0,0,1,0,0,1,0,Testing Prompt: 0.31654922945131825
600997,gpt-5,4,4,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.31654922945131825
217400,gpt-5,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.31654922945131825
211179,gpt-5,2,1,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.31654922945131825
218810,gpt-5,2,1,3,2,0,0,1,1,0,0,0,Testing Prompt: 0.31654922945131825
505194,gpt-5,2,2,3,3,0,0,0,0,1,0,0,Testing Prompt: 0.31654922945131825
264262,gpt-5,2,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.31654922945131825
257040,gpt-5,2,2,4,3,0,0,1,0,0,1,0,Testing Prompt: 0.31654922945131825
195235,gpt-5,3,2,3,2,0,0,1,0,0,1,0,Testing Prompt: 0.31654922945131825
735055,gpt-5,3,4,3,3,0,0,0,1,0,1,0,Testing Prompt: 0.31654922945131825
232366,gpt-5,3,2,1,3,0,0,1,0,0,0,0,Testing Prompt: 0.31654922945131825
211283,gpt-5,2,3,4,3,0,0,0,0,1,1,0,Testing Prompt: 0.31654922945131825
511739,gpt-5,1,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
208682,gpt-5,2,1,4,3,0,0,1,0,1,1,0,Testing Prompt: 0.31654922945131825
546578,gpt-5,2,1,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
231173,gpt-5,4,4,4,4,0,0,1,0,0,1,0,Testing Prompt: 0.31654922945131825
247482,gpt-5,2,2,4,2,0,0,1,1,1,1,0,Testing Prompt: 0.31654922945131825
505173,gpt-5,2,3,4,3,0,0,0,0,1,1,0,Testing Prompt: 0.31654922945131825
703584,gpt-5,2,2,1,2,0,0,1,0,0,1,0,Testing Prompt: 0.31654922945131825
630563,gpt-5,2,4,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
576254,gpt-5,2,3,1,2,0,0,0,0,1,0,0,Testing Prompt: 0.31654922945131825
248896,gpt-5,3,3,3,3,0,0,1,0,0,0,0,Testing Prompt: 0.31654922945131825
238271,gpt-5,3,2,4,4,0,0,1,0,1,1,0,Testing Prompt: 0.31654922945131825
555531,gpt-5,2,1,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
613126,gpt-5,4,4,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.31654922945131825
253693,gpt-5,2,1,4,3,0,0,0,0,1,1,0,Testing Prompt: 0.31654922945131825
242166,gpt-5,2,1,3,3,0,0,0,0,1,1,0,Testing Prompt: 0.31654922945131825
217052,gpt-5,2,1,2,1,0,1,0,0,0,1,0,Testing Prompt: 0.31654922945131825
219176,gpt-5,4,4,3,4,0,1,1,0,1,1,0,Testing Prompt: 0.31654922945131825
263413,gpt-5,4,4,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.31654922945131825
584423,gpt-5,2,3,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
534868,gpt-5,2,1,3,2,0,0,0,0,1,1,0,Testing Prompt: 0.31654922945131825
561604,gpt-5,2,2,1,3,0,0,0,1,0,0,0,Testing Prompt: 0.31654922945131825
717614,gpt-5,2,2,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.31654922945131825
529141,gpt-5,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.31654922945131825
632387,gpt-5,2,1,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
240687,gpt-5,3,3,3,3,0,0,1,0,1,0,0,Testing Prompt: 0.31654922945131825
264478,gpt-5,2,2,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
225577,gpt-5,3,3,4,3,0,0,0,0,1,0,0,Testing Prompt: 0.31654922945131825
512243,gpt-5,2,1,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
263864,gpt-5,3,3,1,4,0,0,1,1,0,1,0,Testing Prompt: 0.31654922945131825
628747,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
573597,gpt-5,3,3,1,4,0,0,1,0,1,1,0,Testing Prompt: 0.31654922945131825
266177,gpt-5,2,1,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
226773,gpt-5,3,2,3,3,0,0,1,0,1,0,0,Testing Prompt: 0.31654922945131825
543229,gpt-5,3,3,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.31654922945131825
586617,gpt-5,3,2,4,4,0,0,1,1,0,0,0,Testing Prompt: 0.31654922945131825
640700,gpt-5,3,4,1,4,0,0,1,1,0,0,0,Testing Prompt: 0.31654922945131825
614816,gpt-5,3,2,4,4,0,0,0,0,1,1,0,Testing Prompt: 0.31654922945131825
528543,gpt-5,3,4,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.31654922945131825
188529,gpt-5,3,2,1,2,0,0,1,0,1,0,0,Testing Prompt: 0.31654922945131825
