record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name
184927,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,1,0,1,0,Testing Prompt: 0.9761342848053259
575601,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
551252,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,3,0,1,0,1,1,1,0,Testing Prompt: 0.9761342848053259
546868,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,2,3,0,0,0,0,1,0,0,Testing Prompt: 0.9761342848053259
211283,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,4,3,0,0,0,0,1,0,0,Testing Prompt: 0.9761342848053259
226773,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,3,2,0,0,1,0,1,0,0,Testing Prompt: 0.9761342848053259
704896,us.anthropic.claude-sonnet-4-20250514-v1:0,1,2,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.9761342848053259
512243,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,1,0,0,0,1,0,Testing Prompt: 0.9761342848053259
613961,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,1,1,1,0,1,0,Testing Prompt: 0.9761342848053259
216965,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,1,0,1,0,1,0,Testing Prompt: 0.9761342848053259
253693,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,4,3,0,0,1,0,1,0,0,Testing Prompt: 0.9761342848053259
217400,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,2,2,0,0,0,0,0,0,0,Testing Prompt: 0.9761342848053259
601728,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,0,0,1,0,0,Testing Prompt: 0.9761342848053259
585389,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,4,2,0,0,0,1,1,1,0,Testing Prompt: 0.9761342848053259
644531,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,1,0,1,0,Testing Prompt: 0.9761342848053259
586617,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,3,3,0,0,1,1,1,1,0,Testing Prompt: 0.9761342848053259
524784,us.anthropic.claude-sonnet-4-20250514-v1:0,4,1,2,4,0,0,1,0,0,1,0,Testing Prompt: 0.9761342848053259
274347,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,4,3,0,0,1,0,0,1,0,Testing Prompt: 0.9761342848053259
735055,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,3,3,0,0,1,1,0,1,0,Testing Prompt: 0.9761342848053259
528543,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
167524,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,1,0,1,0,Testing Prompt: 0.9761342848053259
614816,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,4,3,0,0,0,0,1,1,0,Testing Prompt: 0.9761342848053259
247482,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,3,2,0,1,1,1,1,1,0,Testing Prompt: 0.9761342848053259
247781,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,3,0,0,0,1,0,1,0,Testing Prompt: 0.9761342848053259
557524,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
706907,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,2,3,0,0,1,0,1,1,0,Testing Prompt: 0.9761342848053259
232366,us.anthropic.claude-sonnet-4-20250514-v1:0,1,3,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.9761342848053259
188529,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,2,1,0,0,1,0,1,0,0,Testing Prompt: 0.9761342848053259
628747,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,3,3,0,0,0,0,0,0,0,Testing Prompt: 0.9761342848053259
600843,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,2,2,0,1,0,1,0,1,0,Testing Prompt: 0.9761342848053259
561604,us.anthropic.claude-sonnet-4-20250514-v1:0,1,3,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.9761342848053259
225646,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,3,0,0,0,1,0,1,0,Testing Prompt: 0.9761342848053259
703584,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,3,2,0,0,1,0,0,1,0,Testing Prompt: 0.9761342848053259
218810,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,1,1,0,1,0,Testing Prompt: 0.9761342848053259
558582,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,3,1,0,0,0,0,1,1,0,Testing Prompt: 0.9761342848053259
248896,us.anthropic.claude-sonnet-4-20250514-v1:0,1,3,1,2,0,0,1,0,0,0,0,Testing Prompt: 0.9761342848053259
225577,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,3,0,0,1,0,1,0,0,Testing Prompt: 0.9761342848053259
580333,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,0,1,1,0,Testing Prompt: 0.9761342848053259
556668,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,4,1,0,0,1,0,1,1,0,Testing Prompt: 0.9761342848053259
190056,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,1,1,0,0,0,0,0,0,Testing Prompt: 0.9761342848053259
263413,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,3,0,0,1,0,0,1,0,Testing Prompt: 0.9761342848053259
525710,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,2,2,0,0,1,1,1,1,0,Testing Prompt: 0.9761342848053259
238271,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,3,2,0,0,1,0,1,1,0,Testing Prompt: 0.9761342848053259
630563,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
632387,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,0,0,0,0,0,0,0,Testing Prompt: 0.9761342848053259
242085,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.9761342848053259
613126,us.anthropic.claude-sonnet-4-20250514-v1:0,4,2,3,4,0,0,1,1,0,1,0,Testing Prompt: 0.9761342848053259
215179,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
263864,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,2,3,0,0,1,1,1,1,0,Testing Prompt: 0.9761342848053259
264262,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.9761342848053259
561983,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,3,1,0,1,1,1,0,0,Testing Prompt: 0.9761342848053259
591948,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
174997,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,2,2,0,0,0,1,0,0,0,Testing Prompt: 0.9761342848053259
217052,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,0,1,0,0,0,1,0,Testing Prompt: 0.9761342848053259
244029,us.anthropic.claude-sonnet-4-20250514-v1:0,3,4,2,3,0,0,1,1,0,0,0,Testing Prompt: 0.9761342848053259
248235,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,1,0,1,1,1,0,Testing Prompt: 0.9761342848053259
505194,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,4,3,0,0,0,0,1,0,0,Testing Prompt: 0.9761342848053259
200051,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,1,2,0,0,1,0,0,0,0,Testing Prompt: 0.9761342848053259
543229,us.anthropic.claude-sonnet-4-20250514-v1:0,4,2,2,4,0,0,1,1,0,1,0,Testing Prompt: 0.9761342848053259
207845,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,1,0,0,1,0,1,0,Testing Prompt: 0.9761342848053259
576254,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
264478,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
717614,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,0,1,0,0,Testing Prompt: 0.9761342848053259
172253,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,4,3,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
208682,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.9761342848053259
238025,us.anthropic.claude-sonnet-4-20250514-v1:0,4,4,1,4,0,0,1,1,0,0,0,Testing Prompt: 0.9761342848053259
291285,us.anthropic.claude-sonnet-4-20250514-v1:0,3,4,4,3,0,0,1,1,1,1,0,Testing Prompt: 0.9761342848053259
529141,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.9761342848053259
700128,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,4,3,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
643006,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.9761342848053259
615578,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,1,0,1,1,1,1,0,Testing Prompt: 0.9761342848053259
590085,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,0,0,1,0,0,0,Testing Prompt: 0.9761342848053259
555531,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,4,3,0,0,1,0,1,0,0,Testing Prompt: 0.9761342848053259
511739,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
641013,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,4,3,0,0,1,0,1,1,0,Testing Prompt: 0.9761342848053259
564167,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,1,0,1,1,1,1,0,Testing Prompt: 0.9761342848053259
293411,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,1,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
282284,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,1,1,1,0,Testing Prompt: 0.9761342848053259
207524,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,0,0,0,0,Testing Prompt: 0.9761342848053259
546578,us.anthropic.claude-sonnet-4-20250514-v1:0,4,2,1,3,0,0,1,0,0,1,0,Testing Prompt: 0.9761342848053259
534553,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.9761342848053259
503131,us.anthropic.claude-sonnet-4-20250514-v1:0,1,3,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
640700,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.9761342848053259
242166,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,0,1,1,0,Testing Prompt: 0.9761342848053259
505173,us.anthropic.claude-sonnet-4-20250514-v1:0,4,3,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.9761342848053259
249730,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,1,1,0,0,1,0,0,0,0,Testing Prompt: 0.9761342848053259
225581,us.anthropic.claude-sonnet-4-20250514-v1:0,3,4,2,3,1,0,1,1,0,1,0,Testing Prompt: 0.9761342848053259
211179,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.9761342848053259
588075,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,3,0,0,0,0,0,0,0,Testing Prompt: 0.9761342848053259
215108,us.anthropic.claude-sonnet-4-20250514-v1:0,4,3,3,4,0,0,1,0,1,1,0,Testing Prompt: 0.9761342848053259
506571,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,4,0,0,0,1,0,0,0,Testing Prompt: 0.9761342848053259
545047,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,2,3,0,0,0,1,0,1,0,Testing Prompt: 0.9761342848053259
534868,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,0,1,1,0,Testing Prompt: 0.9761342848053259
257040,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,4,3,0,0,1,0,1,0,0,Testing Prompt: 0.9761342848053259
601747,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,1,1,0,0,1,0,1,0,0,Testing Prompt: 0.9761342848053259
257325,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,4,3,0,0,1,0,0,1,0,Testing Prompt: 0.9761342848053259
543094,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,1,0,0,1,0,Testing Prompt: 0.9761342848053259
573597,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,3,0,0,1,0,0,1,0,Testing Prompt: 0.9761342848053259
584423,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,4,3,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
195235,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,2,0,0,1,0,0,0,0,Testing Prompt: 0.9761342848053259
600997,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.9761342848053259
607920,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.9761342848053259
248731,us.anthropic.claude-sonnet-4-20250514-v1:0,1,2,3,2,0,0,0,0,1,1,0,Testing Prompt: 0.9761342848053259
550903,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,3,3,0,1,1,0,1,1,0,Testing Prompt: 0.9761342848053259
231173,us.anthropic.claude-sonnet-4-20250514-v1:0,4,3,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.9761342848053259
