record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name
263413,gpt-4.1-mini,3,3,2,3,0,0,1,1,1,0,0,Testing Prompt: 0.894685255158302
607921,gpt-4.1-mini,3,3,1,3,0,0,1,1,0,1,0,Testing Prompt: 0.894685255158302
216297,gpt-4.1-mini,3,3,1,3,0,0,0,1,0,0,0,Testing Prompt: 0.894685255158302
225577,gpt-4.1-mini,2,2,1,3,0,0,0,1,1,1,0,Testing Prompt: 0.894685255158302
212289,gpt-4.1-mini,3,3,2,3,0,0,1,1,0,0,0,Testing Prompt: 0.894685255158302
615578,gpt-4.1-mini,4,3,4,4,0,0,1,1,1,1,0,Testing Prompt: 0.894685255158302
242085,gpt-4.1-mini,4,1,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.894685255158302
240687,gpt-4.1-mini,2,1,1,2,0,0,0,1,1,0,0,Testing Prompt: 0.894685255158302
728702,gpt-4.1-mini,4,4,4,4,0,0,1,1,1,1,0,Testing Prompt: 0.894685255158302
528075,gpt-4.1-mini,3,3,2,3,0,0,0,1,1,1,0,Testing Prompt: 0.894685255158302
561604,gpt-4.1-mini,2,2,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.894685255158302
590085,gpt-4.1-mini,3,3,1,3,0,0,1,1,1,0,0,Testing Prompt: 0.894685255158302
536670,gpt-4.1-mini,3,2,1,3,0,0,1,0,1,0,0,Testing Prompt: 0.894685255158302
561983,gpt-4.1-mini,3,3,1,3,1,0,1,1,1,0,0,Testing Prompt: 0.894685255158302
711148,gpt-4.1-mini,4,1,1,3,1,0,1,1,0,1,0,Testing Prompt: 0.894685255158302
241708,gpt-4.1-mini,4,4,1,4,0,0,1,1,1,0,0,Testing Prompt: 0.894685255158302
558582,gpt-4.1-mini,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.894685255158302
264262,gpt-4.1-mini,2,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.894685255158302
512243,gpt-4.1-mini,3,2,4,3,0,1,0,0,0,0,0,Testing Prompt: 0.894685255158302
546871,gpt-4.1-mini,3,3,3,3,0,0,1,1,0,0,0,Testing Prompt: 0.894685255158302
559492,gpt-4.1-mini,2,2,1,2,0,0,1,1,0,1,0,Testing Prompt: 0.894685255158302
530371,gpt-4.1-mini,4,3,1,4,0,0,1,1,0,1,0,Testing Prompt: 0.894685255158302
543229,gpt-4.1-mini,3,2,1,3,0,0,0,1,0,0,0,Testing Prompt: 0.894685255158302
510591,gpt-4.1-mini,1,1,3,1,0,0,0,0,0,1,0,Testing Prompt: 0.894685255158302
282884,gpt-4.1-mini,2,1,2,2,0,0,1,0,0,0,0,Testing Prompt: 0.894685255158302
557524,gpt-4.1-mini,1,1,1,1,0,0,0,1,0,1,0,Testing Prompt: 0.894685255158302
524784,gpt-4.1-mini,4,3,1,4,0,0,1,1,0,1,0,Testing Prompt: 0.894685255158302
167524,gpt-4.1-mini,2,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.894685255158302
551252,gpt-4.1-mini,3,3,1,3,0,1,1,0,1,1,0,Testing Prompt: 0.894685255158302
613961,gpt-4.1-mini,4,2,1,3,0,0,1,0,0,1,0,Testing Prompt: 0.894685255158302
184927,gpt-4.1-mini,4,3,1,4,0,0,1,1,0,1,0,Testing Prompt: 0.894685255158302
704896,gpt-4.1-mini,2,1,1,2,0,0,0,1,0,1,0,Testing Prompt: 0.894685255158302
727579,gpt-4.1-mini,4,4,1,4,0,0,1,1,1,1,0,Testing Prompt: 0.894685255158302
190495,gpt-4.1-mini,1,1,1,1,0,0,0,0,0,0,0,Testing Prompt: 0.894685255158302
226558,gpt-4.1-mini,2,1,4,1,0,1,0,0,0,1,0,Testing Prompt: 0.894685255158302
219176,gpt-4.1-mini,4,2,1,4,0,0,1,1,0,1,0,Testing Prompt: 0.894685255158302
179243,gpt-4.1-mini,3,1,1,3,1,0,1,1,0,1,0,Testing Prompt: 0.894685255158302
218810,gpt-4.1-mini,2,1,1,2,0,0,0,1,0,1,0,Testing Prompt: 0.894685255158302
528543,gpt-4.1-mini,3,1,1,3,0,0,0,0,0,1,0,Testing Prompt: 0.894685255158302
543229,gpt-4.1-mini,3,2,2,3,0,0,1,1,0,0,1,Testing Prompt: 0.29047790889965763
190495,gpt-4.1-mini,1,1,1,1,0,0,0,0,1,0,1,Testing Prompt: 0.29047790889965763
615578,gpt-4.1-mini,4,1,4,4,1,0,1,1,1,1,1,Testing Prompt: 0.29047790889965763
510591,gpt-4.1-mini,2,1,3,1,0,0,0,0,0,0,1,Testing Prompt: 0.29047790889965763
546871,gpt-4.1-mini,4,4,2,4,1,0,1,0,0,0,1,Testing Prompt: 0.29047790889965763
218810,gpt-4.1-mini,2,1,2,2,0,0,0,0,0,0,1,Testing Prompt: 0.29047790889965763
241708,gpt-4.1-mini,4,4,2,4,0,0,1,0,1,0,1,Testing Prompt: 0.29047790889965763
512243,gpt-4.1-mini,3,2,2,3,0,1,0,0,0,0,1,Testing Prompt: 0.29047790889965763
530371,gpt-4.1-mini,4,3,0,4,0,0,1,1,0,1,1,Testing Prompt: 0.29047790889965763
561983,gpt-4.1-mini,3,1,0,3,1,0,1,1,1,0,1,Testing Prompt: 0.29047790889965763
264262,gpt-4.1-mini,2,0,2,2,0,0,0,1,0,0,1,Testing Prompt: 0.29047790889965763
590085,gpt-4.1-mini,3,1,0,3,1,0,1,1,0,0,1,Testing Prompt: 0.29047790889965763
282884,gpt-4.1-mini,4,4,2,4,0,0,1,1,0,0,1,Testing Prompt: 0.29047790889965763
557524,gpt-4.1-mini,2,0,1,2,1,0,0,1,0,0,1,Testing Prompt: 0.29047790889965763
242085,gpt-4.1-mini,3,1,0,3,0,0,1,1,0,0,1,Testing Prompt: 0.29047790889965763
263413,gpt-4.1-mini,4,4,2,3,0,0,1,1,0,0,1,Testing Prompt: 0.29047790889965763
528075,gpt-4.1-mini,3,2,1,3,1,0,0,0,1,1,1,Testing Prompt: 0.29047790889965763
219176,gpt-4.1-mini,4,1,2,4,0,0,1,1,0,0,1,Testing Prompt: 0.29047790889965763
212289,gpt-4.1-mini,3,1,1,3,0,0,1,0,0,0,1,Testing Prompt: 0.29047790889965763
226558,gpt-4.1-mini,3,1,4,3,0,0,0,0,0,0,1,Testing Prompt: 0.29047790889965763
561604,gpt-4.1-mini,2,2,1,2,0,0,1,1,0,0,1,Testing Prompt: 0.29047790889965763
240687,gpt-4.1-mini,3,3,1,3,0,0,1,1,1,0,1,Testing Prompt: 0.29047790889965763
613961,gpt-4.1-mini,4,3,1,4,0,0,1,0,0,1,1,Testing Prompt: 0.29047790889965763
711148,gpt-4.1-mini,2,1,1,2,1,0,0,1,0,1,1,Testing Prompt: 0.29047790889965763
728702,gpt-4.1-mini,4,4,1,4,0,0,1,1,1,0,1,Testing Prompt: 0.29047790889965763
179243,gpt-4.1-mini,3,2,1,3,0,0,1,1,0,1,1,Testing Prompt: 0.29047790889965763
558582,gpt-4.1-mini,1,1,3,1,0,0,0,0,0,0,1,Testing Prompt: 0.29047790889965763
