record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name
704896,gpt-5,2,1,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.8577872313819742
218810,gpt-5,2,1,3,2,0,0,1,1,0,0,0,Testing Prompt: 0.8577872313819742
225577,gpt-5,3,3,4,3,0,0,0,0,1,0,0,Testing Prompt: 0.8577872313819742
216297,gpt-5,3,3,2,3,0,0,0,1,0,0,0,Testing Prompt: 0.8577872313819742
167524,gpt-5,2,1,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.8577872313819742
530371,gpt-5,4,4,1,4,0,0,1,1,0,0,0,Testing Prompt: 0.8577872313819742
263413,gpt-5,4,4,2,4,0,0,1,1,1,1,0,Testing Prompt: 0.8577872313819742
543229,gpt-5,3,2,3,3,0,0,0,1,0,0,0,Testing Prompt: 0.8577872313819742
190495,gpt-5,1,1,3,1,0,0,0,0,1,0,0,Testing Prompt: 0.8577872313819742
179243,gpt-5,3,3,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.8577872313819742
728702,gpt-5,3,1,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.8577872313819742
240687,gpt-5,2,3,3,2,0,0,1,0,1,0,0,Testing Prompt: 0.8577872313819742
512243,gpt-5,2,2,4,2,0,0,0,0,1,0,0,Testing Prompt: 0.8577872313819742
557524,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.8577872313819742
226558,gpt-5,2,2,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.8577872313819742
184927,gpt-5,4,4,4,4,0,0,1,1,0,1,0,Testing Prompt: 0.8577872313819742
212289,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.8577872313819742
607921,gpt-5,3,3,1,3,0,0,0,1,0,1,0,Testing Prompt: 0.8577872313819742
558582,gpt-5,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.8577872313819742
546871,gpt-5,4,4,3,4,0,0,1,0,1,0,0,Testing Prompt: 0.8577872313819742
219176,gpt-5,3,4,3,4,0,1,1,1,1,0,0,Testing Prompt: 0.8577872313819742
590085,gpt-5,3,3,1,3,0,0,1,1,1,0,0,Testing Prompt: 0.8577872313819742
613961,gpt-5,4,4,2,3,0,0,1,0,0,1,0,Testing Prompt: 0.8577872313819742
510591,gpt-5,2,1,3,1,0,0,0,0,0,0,0,Testing Prompt: 0.8577872313819742
241708,gpt-5,4,4,2,4,0,0,1,0,1,0,0,Testing Prompt: 0.8577872313819742
561604,gpt-5,2,3,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.8577872313819742
528543,gpt-5,3,3,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.8577872313819742
559492,gpt-5,2,2,3,2,0,0,0,1,0,1,0,Testing Prompt: 0.8577872313819742
536670,gpt-5,2,2,1,2,0,0,0,0,1,1,0,Testing Prompt: 0.8577872313819742
727579,gpt-5,4,4,2,4,0,0,1,1,1,0,0,Testing Prompt: 0.8577872313819742
242085,gpt-5,2,1,1,2,0,0,1,1,0,0,0,Testing Prompt: 0.8577872313819742
615578,gpt-5,3,3,3,3,1,0,1,1,0,1,0,Testing Prompt: 0.8577872313819742
524784,gpt-5,2,1,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.8577872313819742
282884,gpt-5,3,3,2,2,0,0,1,1,0,0,0,Testing Prompt: 0.8577872313819742
711148,gpt-5,2,1,1,1,1,0,1,1,0,1,0,Testing Prompt: 0.8577872313819742
551252,gpt-5,2,2,4,3,0,1,1,1,1,1,0,Testing Prompt: 0.8577872313819742
528075,gpt-5,2,3,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.8577872313819742
264262,gpt-5,1,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.8577872313819742
561983,gpt-5,2,3,1,2,1,0,0,1,1,1,0,Testing Prompt: 0.8577872313819742
263413,gpt-5,4,4,1,3,0,0,1,1,1,0,1,Testing Prompt: 0.37194813094507495
241708,gpt-5,4,4,1,4,0,0,1,0,1,0,1,Testing Prompt: 0.37194813094507495
226558,gpt-5,2,2,4,2,0,0,0,0,0,0,1,Testing Prompt: 0.37194813094507495
212289,gpt-5,2,2,3,3,0,0,0,0,0,1,1,Testing Prompt: 0.37194813094507495
530371,gpt-5,3,2,2,4,0,0,1,1,0,0,1,Testing Prompt: 0.37194813094507495
216297,gpt-5,3,2,1,3,0,0,0,1,1,0,1,Testing Prompt: 0.37194813094507495
551252,gpt-5,2,2,4,3,0,1,0,1,1,1,1,Testing Prompt: 0.37194813094507495
242085,gpt-5,3,2,1,2,0,0,1,1,0,0,1,Testing Prompt: 0.37194813094507495
512243,gpt-5,2,2,4,2,0,0,0,0,0,0,1,Testing Prompt: 0.37194813094507495
528543,gpt-5,3,4,2,2,0,0,0,0,0,0,1,Testing Prompt: 0.37194813094507495
282884,gpt-5,3,2,1,3,0,0,1,1,0,0,1,Testing Prompt: 0.37194813094507495
561604,gpt-5,2,3,1,3,0,0,0,1,0,0,1,Testing Prompt: 0.37194813094507495
184927,gpt-5,4,4,3,4,0,0,1,1,0,1,1,Testing Prompt: 0.37194813094507495
607921,gpt-5,3,4,1,3,0,0,0,1,1,0,1,Testing Prompt: 0.37194813094507495
546871,gpt-5,3,4,3,3,0,0,1,0,0,0,1,Testing Prompt: 0.37194813094507495
613961,gpt-5,3,3,1,3,0,0,1,1,0,1,1,Testing Prompt: 0.37194813094507495
