record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name,Ethnic Responsiveness
216297,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.2429697342851277,
242085,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,1,2,0,0,1,1,0,1,0,Testing Prompt: 0.2429697342851277,
546871,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,3,0,0,0,0,0,0,0,Testing Prompt: 0.2429697342851277,
240687,us.anthropic.claude-sonnet-4-20250514-v1:0,1,3,3,1,0,0,0,0,1,0,0,Testing Prompt: 0.2429697342851277,
264262,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,0,0,0,0,0,0,0,Testing Prompt: 0.2429697342851277,
510591,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,3,1,0,0,0,0,1,1,0,Testing Prompt: 0.2429697342851277,
615578,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,4,3,1,0,1,1,1,1,0,Testing Prompt: 0.2429697342851277,
512243,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.2429697342851277,
557524,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.2429697342851277,
543229,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,3,3,0,0,0,1,0,0,0,Testing Prompt: 0.2429697342851277,
241708,us.anthropic.claude-sonnet-4-20250514-v1:0,2,4,1,3,0,0,1,1,1,0,0,Testing Prompt: 0.2429697342851277,
536670,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,2,2,0,0,0,0,1,1,0,Testing Prompt: 0.2429697342851277,
528075,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.2429697342851277,
613961,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,0,0,0,1,1,0,Testing Prompt: 0.2429697342851277,
263413,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,0,1,0,0,Testing Prompt: 0.2429697342851277,
282884,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,0,1,1,0,0,0,Testing Prompt: 0.2429697342851277,
727579,us.anthropic.claude-sonnet-4-20250514-v1:0,4,4,1,4,0,0,1,1,1,0,0,Testing Prompt: 0.2429697342851277,
704896,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,1,2,0,0,0,1,0,1,0,Testing Prompt: 0.2429697342851277,
607921,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,1,2,0,0,0,1,0,1,0,Testing Prompt: 0.2429697342851277,
226558,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,4,2,0,0,0,0,0,0,0,Testing Prompt: 0.2429697342851277,
219176,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,1,3,0,1,1,1,0,0,0,Testing Prompt: 0.2429697342851277,
190495,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,3,1,0,0,0,0,1,0,0,Testing Prompt: 0.2429697342851277,
524784,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,2,3,0,0,0,1,0,1,0,Testing Prompt: 0.2429697342851277,
167524,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,3,2,0,0,0,1,0,1,0,Testing Prompt: 0.2429697342851277,
528543,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,3,0,0,1,0,0,1,0,Testing Prompt: 0.2429697342851277,
179243,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,1,3,0,0,1,1,0,1,0,Testing Prompt: 0.2429697342851277,
218810,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,1,0,0,0,Testing Prompt: 0.2429697342851277,
225577,us.anthropic.claude-sonnet-4-20250514-v1:0,1,3,3,3,0,0,0,0,1,0,0,Testing Prompt: 0.2429697342851277,
559492,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,1,3,0,0,0,1,0,1,0,Testing Prompt: 0.2429697342851277,
558582,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,3,2,0,0,0,0,1,0,0,Testing Prompt: 0.2429697342851277,
184927,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,1,0,1,0,Testing Prompt: 0.2429697342851277,
711148,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,1,2,1,0,1,0,0,1,0,Testing Prompt: 0.2429697342851277,
530371,us.anthropic.claude-sonnet-4-20250514-v1:0,4,3,1,4,0,0,1,1,0,0,0,Testing Prompt: 0.2429697342851277,
212289,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,0,1,0,0,1,0,Testing Prompt: 0.2429697342851277,
561983,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,3,0,0,1,1,1,1,0,Testing Prompt: 0.2429697342851277,
728702,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,2,3,0,0,1,1,1,1,0,Testing Prompt: 0.2429697342851277,
561604,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,1,3,0,0,0,1,0,0,0,Testing Prompt: 0.2429697342851277,
590085,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,2,3,0,0,1,1,0,0,0,Testing Prompt: 0.2429697342851277,
551252,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,3,3,0,1,0,1,1,1,0,Testing Prompt: 0.2429697342851277,
179243,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,1,2,0,0,0,1,0,1,1,Testing Prompt: 0.9443936585066918,
613961,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,2,3,0,0,1,0,0,1,1,Testing Prompt: 0.9443936585066918,
263413,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,1,1,0,1,Testing Prompt: 0.9443936585066918,
551252,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,4,3,0,1,0,1,1,1,1,Testing Prompt: 0.9443936585066918,
226558,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,4,2,0,0,0,0,0,0,1,Testing Prompt: 0.9443936585066918,
530371,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,0,1,1,0,0,1,Testing Prompt: 0.9443936585066918,
615578,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,1,0,1,1,1,1,1,Testing Prompt: 0.9443936585066918,
728702,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,3,0,0,1,1,1,0,1,Testing Prompt: 0.9443936585066918,
264262,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,2,2,0,0,0,0,0,0,1,Testing Prompt: 0.9443936585066918,
561604,us.anthropic.claude-sonnet-4-20250514-v1:0,1,2,1,2,0,0,0,1,0,0,1,Testing Prompt: 0.9443936585066918,
711148,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,1,2,1,0,1,1,0,1,1,Testing Prompt: 0.9443936585066918,
225577,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,3,0,0,0,0,1,0,1,Testing Prompt: 0.9443936585066918,
543229,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,3,3,0,0,0,1,0,0,1,Testing Prompt: 0.9443936585066918,
727579,us.anthropic.claude-sonnet-4-20250514-v1:0,4,4,1,4,0,0,1,1,1,0,1,Testing Prompt: 0.9443936585066918,
