record_id,Scorer Name,Goal Orientation,Confidence Score for Goal Orientation,Engagement with Evidence,Confidence Score for Engagement with Evidence,Collaborative Decision-Making,Confidence Score for Collaborative Decision-Making,Strategic Planning,Confidence Score for Strategic Planning,Cultural Responsiveness,Confidence Score for Cultural Responsiveness,Parent/Community Engagement,Confidence Score for Parent/Community Engagement,Academic Achievement,Confidence Score for Academic Achievement,Candidate Experience/Expertise,Confidence Score for Candidate Experience/Expertise,Evaluation,Confidence Score for Evaluation,School Culture Fit,Confidence Score for School Culture Fit,call_number,prompt_name,codebook_type
525710,gpt-5,3,0.73,4,0.85,3,0.72,3,0.7,0,0.95,0,0.98,1,0.88,1,0.84,1,0.9,0,0.7,0,Testing Prompt: 0.5063060237676648,examples
545047,gpt-5,2,0.68,3,0.74,1,0.78,2,0.65,0,0.96,0,0.98,0,0.92,1,0.9,0,0.9,0,0.86,0,Testing Prompt: 0.5063060237676648,examples
291285,gpt-5,3,0.72,3,0.78,3,0.85,3,0.72,0,0.97,0,0.98,0,0.8,1,0.86,0,0.9,1,0.76,0,Testing Prompt: 0.5063060237676648,examples
558582,gpt-5,2,0.7,1,0.95,3,0.82,2,0.68,0,0.98,0,0.99,0,0.95,0,0.95,0,0.95,0,0.85,0,Testing Prompt: 0.5063060237676648,examples
242166,gpt-5,2,0.75,1,0.95,3,0.9,2,0.7,0,0.98,0,0.99,0,0.95,0,0.95,0,0.88,0,0.82,0,Testing Prompt: 0.5063060237676648,examples
506571,gpt-5,3,0.82,4,0.84,3,0.86,4,0.78,0,0.97,0,0.99,1,0.92,1,0.9,0,0.92,0,0.9,0,Testing Prompt: 0.5063060237676648,examples
211283,gpt-5,2,0.72,3,0.78,4,0.83,3,0.72,0,0.98,0,0.98,0,0.94,0,0.95,0,0.86,0,0.82,0,Testing Prompt: 0.5063060237676648,examples
174997,gpt-5,2,0.76,1,0.96,3,0.78,2,0.72,0,0.99,0,0.99,0,0.95,0,0.95,0,0.94,0,0.9,0,Testing Prompt: 0.5063060237676648,examples
503131,gpt-5,2,0.78,4,0.82,1,0.86,1,0.79,0,0.95,0,0.97,0,0.9,0,0.96,0,0.92,1,0.93,0,Testing Prompt: 0.5063060237676648,examples
546868,gpt-5,2,0.8,3,0.78,3,0.87,3,0.74,0,0.97,0,0.98,0,0.95,0,0.94,0,0.9,0,0.92,0,Testing Prompt: 0.5063060237676648,examples
564167,gpt-5,3,0.82,4,0.83,1,0.89,4,0.76,1,0.73,0,0.98,1,0.86,1,0.86,1,0.74,1,0.88,0,Testing Prompt: 0.5063060237676648,examples
264344,gpt-5,3,0.8,3,0.77,3,0.84,3,0.8,0,0.97,0,0.98,1,0.78,0,0.96,0,0.95,0,0.93,0,Testing Prompt: 0.5063060237676648,examples
208682,gpt-5,3,0.74,1,0.9,3,0.88,3,0.72,0,0.98,0,0.99,1,0.76,0,0.94,1,0.82,1,0.86,0,Testing Prompt: 0.5063060237676648,examples
