record_id,Scorer Name,Goal Orientation,Confidence Score for Goal Orientation,Engagement with Evidence,Confidence Score for Engagement with Evidence,Collaborative Decision-Making,Confidence Score for Collaborative Decision-Making,Strategic Planning,Confidence Score for Strategic Planning,Cultural Responsiveness,Confidence Score for Cultural Responsiveness,Parent/Community Engagement,Confidence Score for Parent/Community Engagement,Academic Achievement,Confidence Score for Academic Achievement,Candidate Experience/Expertise,Confidence Score for Candidate Experience/Expertise,Evaluation,Confidence Score for Evaluation,School Culture Fit,Confidence Score for School Culture Fit,call_number,prompt_name,codebook_type
219176,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,3,0.9,2,0.7,2,0.8,0,0.9,1,0.8,1,0.9,1,0.9,0,0.8,0,0.8,0,Testing Prompt: 0.7080810784532806,cot
263864,us.anthropic.claude-sonnet-4-20250514-v1:0,4,0.9,2,0.7,1,0.8,4,0.9,0,0.9,0,0.9,1,0.8,1,0.8,1,0.7,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
717614,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,1,0.9,3,0.8,2,0.7,0,0.9,0,0.9,0,0.9,0,0.8,1,0.7,0,0.8,0,Testing Prompt: 0.7080810784532806,cot
580333,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,2,0.7,3,0.8,2,0.7,0,0.9,0,0.9,1,0.8,0,0.8,1,0.8,1,0.9,0,Testing Prompt: 0.7080810784532806,cot
601728,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,3,0.8,3,0.8,2,0.7,0,0.9,0,0.9,0,0.8,0,0.8,1,0.8,0,0.9,0,Testing Prompt: 0.7080810784532806,cot
253693,us.anthropic.claude-sonnet-4-20250514-v1:0,4,0.9,1,0.8,4,0.9,3,0.8,0,0.9,0,0.9,1,0.8,0,0.8,1,0.9,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
557524,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,1,0.8,2,0.7,0,0.9,0,0.9,0,0.8,0,0.8,0,0.8,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
643006,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.8,3,0.7,3,0.8,0,0.9,0,0.9,1,0.8,0,0.8,1,0.8,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
195235,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,2,0.7,3,0.8,1,0.8,0,0.9,0,0.9,1,0.7,0,0.9,0,0.9,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
257040,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,2,0.7,4,0.8,4,0.8,0,0.9,0,0.9,1,0.7,0,0.8,1,0.8,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
546578,us.anthropic.claude-sonnet-4-20250514-v1:0,4,0.8,1,0.9,1,0.8,3,0.7,0,0.9,0,0.9,1,0.8,0,0.9,0,0.9,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
584423,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,3,0.8,2,0.7,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
217400,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,2,0.7,2,0.8,0,0.9,0,0.9,1,0.6,0,0.8,0,0.9,1,0.7,0,Testing Prompt: 0.7080810784532806,cot
505173,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.8,4,0.9,4,0.8,0,0.9,0,0.9,1,0.7,1,0.9,1,0.8,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
525710,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,4,0.9,3,0.8,3,0.7,0,0.9,0,0.9,1,0.8,1,0.8,1,0.8,1,0.9,0,Testing Prompt: 0.7080810784532806,cot
706907,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,3,0.8,3,0.7,2,0.8,0,0.9,0,0.9,1,0.7,0,0.8,1,0.9,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
529099,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,3,0.7,2,0.8,0,0.9,0,0.9,0,0.8,0,0.8,1,0.7,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
225581,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,4,0.9,2,0.7,3,0.7,1,0.9,0,0.9,1,0.8,1,0.9,0,0.8,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
215179,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,2,0.7,2,0.8,0,0.9,0,0.9,0,0.8,0,0.9,0,0.8,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
607920,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,3,0.8,3,0.7,0,0.9,0,0.9,0,0.8,0,0.8,1,0.7,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
543094,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,4,0.9,4,0.8,2,0.7,0,0.9,0,0.9,0,0.7,0,0.8,0,0.8,0,0.8,0,Testing Prompt: 0.7080810784532806,cot
564167,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,4,0.9,1,0.8,3,0.8,1,0.8,0,0.9,0,0.7,1,0.8,1,0.8,1,0.9,0,Testing Prompt: 0.7080810784532806,cot
615578,us.anthropic.claude-sonnet-4-20250514-v1:0,4,0.9,3,0.8,3,0.8,4,0.8,1,0.8,0,0.9,1,0.8,0,0.7,1,0.8,1,0.9,0,Testing Prompt: 0.7080810784532806,cot
274347,us.anthropic.claude-sonnet-4-20250514-v1:0,4,0.9,4,0.9,4,0.9,4,0.8,0,0.8,0,0.9,1,0.8,0,0.8,0,0.8,0,0.8,0,Testing Prompt: 0.7080810784532806,cot
293411,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,2,0.7,2,0.8,1,0.8,1,0.7,0,0.9,0,0.8,0,0.9,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
188529,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,2,0.8,2,0.6,2,0.7,0,0.9,0,0.9,1,0.8,0,0.8,1,0.8,0,0.8,0,Testing Prompt: 0.7080810784532806,cot
232366,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,3,0.8,1,0.8,2,0.7,0,0.9,0,0.9,1,0.7,1,0.7,0,0.8,0,0.9,0,Testing Prompt: 0.7080810784532806,cot
211179,us.anthropic.claude-sonnet-4-20250514-v1:0,1,0.8,1,0.9,1,0.9,1,0.8,0,0.9,0,0.9,0,0.8,1,0.8,0,0.9,0,0.9,0,Testing Prompt: 0.7080810784532806,cot
735055,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.8,3,0.8,4,0.8,0,0.9,0,0.9,1,0.7,1,0.8,0,0.8,1,0.8,0,Testing Prompt: 0.7080810784532806,cot
534553,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.8,1,0.8,3,0.7,0,0.9,0,0.9,1,0.8,1,0.8,0,0.8,0,0.8,0,Testing Prompt: 0.7080810784532806,cot
