record_id,Scorer Name,Goal Orientation,Confidence Score for Goal Orientation,Engagement with Evidence,Confidence Score for Engagement with Evidence,Collaborative Decision-Making,Confidence Score for Collaborative Decision-Making,Strategic Planning,Confidence Score for Strategic Planning,Cultural Responsiveness,Confidence Score for Cultural Responsiveness,Parent/Community Engagement,Confidence Score for Parent/Community Engagement,Academic Achievement,Confidence Score for Academic Achievement,Candidate Experience/Expertise,Confidence Score for Candidate Experience/Expertise,Evaluation,Confidence Score for Evaluation,School Culture Fit,Confidence Score for School Culture Fit,call_number,prompt_name,codebook_type
706907,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.85,3,0.9,3,0.8,3,0.85,0,0.95,0,0.95,1,0.75,0,0.9,1,0.85,1,0.8,0,Testing Prompt: 0.6056693414562557,examples
257325,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.9,4,0.95,3,0.75,0,0.95,0,0.95,0,0.85,0,0.9,0,0.85,1,0.9,0,Testing Prompt: 0.6056693414562557,examples
248896,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.75,3,0.85,3,0.8,2,0.8,0,0.95,0,0.95,1,0.85,0,0.9,0,0.9,0,0.85,0,Testing Prompt: 0.6056693414562557,examples
529141,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.85,1,0.9,3,0.85,1,0.85,0,0.95,0,0.95,0,0.95,0,0.95,0,0.95,0,0.9,0,Testing Prompt: 0.6056693414562557,examples
248731,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.85,4,0.9,4,0.85,0,0.95,0,0.95,1,0.85,0,0.9,1,0.8,1,0.85,0,Testing Prompt: 0.6056693414562557,examples
257040,us.anthropic.claude-sonnet-4-20250514-v1:0,4,0.85,1,0.8,4,0.9,4,0.9,0,0.95,0,0.95,1,0.8,0,0.9,1,0.75,1,0.85,0,Testing Prompt: 0.6056693414562557,examples
253693,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,1,0.9,4,0.9,2,0.7,0,0.9,0,0.9,1,0.8,0,0.8,1,0.8,1,0.9,0,Testing Prompt: 0.6056693414562557,examples
644531,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.8,3,0.8,3,0.8,0,0.9,0,0.9,1,0.8,1,0.8,0,0.8,1,0.9,0,Testing Prompt: 0.6056693414562557,examples
588075,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,3,0.8,2,0.8,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,Testing Prompt: 0.6056693414562557,examples
266177,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,1,0.9,4,0.8,3,0.8,0,0.9,0,0.9,1,0.8,0,0.8,1,0.8,1,0.8,0,Testing Prompt: 0.6056693414562557,examples
556668,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,4,0.9,2,0.8,0,0.9,0,0.9,1,0.8,0,0.8,1,0.8,1,0.8,0,Testing Prompt: 0.6056693414562557,examples
615578,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.8,3,0.8,4,0.8,1,0.8,0,0.9,1,0.8,1,0.8,1,0.8,1,0.8,0,Testing Prompt: 0.6056693414562557,examples
703584,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,1,0.8,1,0.7,0,0.9,0,0.9,1,0.8,0,0.9,0,0.8,1,0.8,0,Testing Prompt: 0.6056693414562557,examples
601728,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,3,0.8,3,0.8,2,0.7,0,0.9,0,0.9,0,0.8,0,0.8,1,0.7,0,0.8,0,Testing Prompt: 0.6056693414562557,examples
632387,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,1,0.8,3,0.8,2,0.7,0,0.9,0,0.8,0,0.8,0,0.9,0,0.8,0,0.8,0,Testing Prompt: 0.6056693414562557,examples
293411,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,1,0.8,3,0.8,2,0.7,1,0.7,1,0.7,0,0.8,0,0.8,1,0.7,1,0.8,0,Testing Prompt: 0.6056693414562557,examples
545047,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,3,0.8,3,0.7,2,0.7,0,0.9,0,0.9,0,0.8,1,0.8,0,0.8,0,0.8,0,Testing Prompt: 0.6056693414562557,examples
704786,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,4,0.9,1,0.8,3,0.8,0,0.9,0,0.9,1,0.8,1,0.9,1,0.8,0,0.8,0,Testing Prompt: 0.6056693414562557,examples
573597,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.9,1,0.9,2,0.7,1,0.6,0,0.9,1,0.8,0,0.8,0,0.9,1,0.7,0,Testing Prompt: 0.6056693414562557,examples
546868,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,3,0.8,3,0.8,3,0.8,0,0.9,0,0.9,0,0.8,0,0.8,1,0.7,1,0.7,0,Testing Prompt: 0.6056693414562557,examples
534553,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.8,1,0.9,2,0.7,0,0.9,0,0.9,1,0.8,1,0.8,0,0.9,1,0.7,0,Testing Prompt: 0.6056693414562557,examples
640700,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.9,1,0.9,2,0.7,0,0.9,0,0.9,1,0.8,1,0.8,0,0.9,0,0.8,0,Testing Prompt: 0.6056693414562557,examples
613126,us.anthropic.claude-sonnet-4-20250514-v1:0,4,0.9,3,0.8,4,0.9,4,0.9,0,0.8,0,0.9,1,0.8,1,0.7,1,0.7,1,0.9,0,Testing Prompt: 0.6056693414562557,examples
607920,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,1,0.9,3,0.8,2,0.7,0,0.9,0,0.9,0,0.8,0,0.8,0,0.9,1,0.8,0,Testing Prompt: 0.6056693414562557,examples
225646,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.75,3,0.8,2,0.7,3,0.75,0,0.95,0,0.95,1,0.7,1,0.85,0,0.8,1,0.75,0,Testing Prompt: 0.6056693414562557,examples
218810,us.anthropic.claude-sonnet-4-20250514-v1:0,1,0.8,1,0.9,2,0.65,2,0.7,0,0.95,0,0.95,1,0.75,1,0.85,1,0.7,1,0.8,0,Testing Prompt: 0.6056693414562557,examples
