record_id,Scorer Name,Goal Orientation,Confidence Score for Goal Orientation,Engagement with Evidence,Confidence Score for Engagement with Evidence,Collaborative Decision-Making,Confidence Score for Collaborative Decision-Making,Strategic Planning,Confidence Score for Strategic Planning,Cultural Responsiveness,Confidence Score for Cultural Responsiveness,Parent/Community Engagement,Confidence Score for Parent/Community Engagement,Academic Achievement,Confidence Score for Academic Achievement,Candidate Experience/Expertise,Confidence Score for Candidate Experience/Expertise,Evaluation,Confidence Score for Evaluation,School Culture Fit,Confidence Score for School Culture Fit,call_number,prompt_name,codebook_type
556668,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,3,0.8,1,0.9,0,0.9,0,0.9,1,0.7,0,0.8,1,0.8,1,0.9,0,Testing Prompt: 0.11972211749929451,zero-shot
703584,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,1,0.8,1,0.9,0,0.9,0,0.9,1,0.8,0,0.9,0,0.8,1,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
506571,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.7,3,0.8,4,0.8,0,0.9,0,0.9,1,0.8,1,0.9,0,0.8,0,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
242166,us.anthropic.claude-sonnet-4-20250514-v1:0,1,0.9,1,0.9,3,0.8,2,0.7,0,0.9,0,0.9,0,0.8,0,0.9,1,0.8,1,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
543229,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,3,0.7,3,0.8,4,0.8,0,0.9,0,0.9,1,0.8,1,0.8,0,0.8,1,0.7,0,Testing Prompt: 0.11972211749929451,zero-shot
524784,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,3,0.7,2,0.7,3,0.8,0,0.9,0,0.9,1,0.8,0,0.8,1,0.8,1,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
238025,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.85,4,0.9,2,0.75,4,0.88,0,0.95,0,0.98,1,0.82,1,0.8,1,0.78,0,0.85,0,Testing Prompt: 0.11972211749929451,zero-shot
207845,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.75,3,0.8,3,0.85,2,0.78,1,0.92,0,0.95,0,0.85,1,0.88,1,0.85,1,0.9,0,Testing Prompt: 0.11972211749929451,zero-shot
561604,us.anthropic.claude-sonnet-4-20250514-v1:0,1,0.88,2,0.8,1,0.92,2,0.75,0,0.98,0,0.98,0,0.9,1,0.85,0,0.95,0,0.95,0,Testing Prompt: 0.11972211749929451,zero-shot
644531,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.82,3,0.85,3,0.8,3,0.83,0,0.95,0,0.95,1,0.78,0,0.88,0,0.9,1,0.85,0,Testing Prompt: 0.11972211749929451,zero-shot
557524,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,1,0.85,1,0.88,2,0.75,0,0.95,0,0.95,0,0.9,0,0.85,0,0.9,1,0.88,0,Testing Prompt: 0.11972211749929451,zero-shot
545047,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.75,3,0.8,3,0.82,2,0.78,0,0.95,0,0.95,0,0.88,1,0.85,1,0.88,0,0.9,0,Testing Prompt: 0.11972211749929451,zero-shot
211179,us.anthropic.claude-sonnet-4-20250514-v1:0,1,0.9,1,0.95,1,0.9,1,0.85,0,0.95,0,0.95,0,0.9,1,0.8,0,0.9,0,0.9,0,Testing Prompt: 0.11972211749929451,zero-shot
561983,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.85,3,0.9,2,0.8,3,0.8,1,0.85,0,0.9,1,0.8,1,0.9,1,0.85,1,0.85,0,Testing Prompt: 0.11972211749929451,zero-shot
247482,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,3,0.85,3,0.85,2,0.8,0,0.9,0,0.9,1,0.85,1,0.8,1,0.9,1,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
717614,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,3,0.85,2,0.8,0,0.9,0,0.9,0,0.9,1,0.85,1,0.8,0,0.9,0,Testing Prompt: 0.11972211749929451,zero-shot
240687,us.anthropic.claude-sonnet-4-20250514-v1:0,1,0.85,3,0.9,2,0.85,2,0.8,0,0.9,0,0.9,1,0.85,0,0.9,1,0.85,0,0.9,0,Testing Prompt: 0.11972211749929451,zero-shot
225577,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,3,0.9,4,0.85,3,0.8,0,0.9,0,0.9,1,0.85,0,0.8,1,0.9,0,0.9,0,Testing Prompt: 0.11972211749929451,zero-shot
238271,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,3,0.8,2,0.7,0,0.9,0,0.9,1,0.7,0,0.8,1,0.8,1,0.9,0,Testing Prompt: 0.11972211749929451,zero-shot
232366,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,3,0.8,1,0.9,2,0.7,0,0.9,0,0.9,1,0.8,0,0.8,0,0.8,0,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
511739,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,1,0.9,1,0.8,0,0.9,0,0.9,0,0.8,0,0.9,0,0.9,1,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
282284,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,1,0.9,3,0.8,3,0.8,0,0.9,0,0.9,0,0.8,1,0.8,1,0.7,1,0.9,0,Testing Prompt: 0.11972211749929451,zero-shot
704896,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,3,0.8,1,0.9,2,0.8,0,0.9,0,0.9,0,0.8,1,0.9,0,0.8,0,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
188529,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.7,1,0.9,3,0.7,2,0.7,0,0.9,0,0.9,1,0.8,0,0.8,1,0.8,0,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
248235,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,3,0.9,3,0.8,2,0.7,0,0.95,1,0.8,1,0.7,1,0.8,1,0.8,1,0.9,0,Testing Prompt: 0.11972211749929451,zero-shot
585389,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.8,1,0.9,4,0.9,2,0.8,0,0.95,0,0.9,0,0.8,1,0.8,1,0.9,1,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
242085,us.anthropic.claude-sonnet-4-20250514-v1:0,3,0.8,2,0.7,2,0.7,3,0.8,0,0.95,0,0.9,1,0.8,1,0.8,1,0.7,1,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
505194,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,2,0.7,3,0.8,2,0.7,0,0.95,0,0.9,0,0.8,1,0.7,1,0.8,1,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
543094,us.anthropic.claude-sonnet-4-20250514-v1:0,2,0.7,4,0.9,3,0.8,2,0.7,0,0.95,0,0.9,1,0.8,0,0.8,1,0.7,1,0.9,0,Testing Prompt: 0.11972211749929451,zero-shot
215108,us.anthropic.claude-sonnet-4-20250514-v1:0,4,0.9,2,0.8,3,0.8,4,0.9,0,0.95,0,0.9,1,0.8,1,0.8,1,0.8,1,0.8,0,Testing Prompt: 0.11972211749929451,zero-shot
