record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name
208682,gpt-5,2,1,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.01413903514145931
632387,gpt-5,2,2,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.01413903514145931
588075,gpt-5,2,2,3,3,0,0,0,0,0,0,0,Testing Prompt: 0.01413903514145931
512243,gpt-5,2,2,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.01413903514145931
219176,gpt-5,3,4,3,4,0,1,1,1,1,0,0,Testing Prompt: 0.01413903514145931
264344,gpt-5,4,4,3,4,0,0,1,0,0,0,0,Testing Prompt: 0.01413903514145931
217052,gpt-5,2,1,3,1,0,1,0,0,0,1,0,Testing Prompt: 0.01413903514145931
628747,gpt-5,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.01413903514145931
257325,gpt-5,2,4,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.01413903514145931
528543,gpt-5,4,4,1,4,0,0,0,0,0,1,0,Testing Prompt: 0.01413903514145931
218810,gpt-5,2,1,4,2,0,0,1,1,0,0,0,Testing Prompt: 0.01413903514145931
543094,gpt-5,3,4,4,2,0,0,1,0,0,1,0,Testing Prompt: 0.01413903514145931
543229,gpt-5,3,3,3,4,0,0,1,1,0,1,0,Testing Prompt: 0.01413903514145931
231173,gpt-5,4,4,4,4,0,1,1,0,1,1,0,Testing Prompt: 0.01413903514145931
706907,gpt-5,2,3,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.01413903514145931
735055,gpt-5,3,4,3,3,0,0,0,0,1,1,0,Testing Prompt: 0.01413903514145931
248235,gpt-5,4,4,3,4,0,1,1,0,0,1,0,Testing Prompt: 0.01413903514145931
551252,gpt-5,2,2,4,2,0,1,1,1,1,1,0,Testing Prompt: 0.01413903514145931
700128,gpt-5,1,3,4,1,0,0,0,0,0,1,0,Testing Prompt: 0.01413903514145931
216965,gpt-5,3,4,1,3,0,1,0,0,0,1,0,Testing Prompt: 0.01413903514145931
550903,gpt-5,3,3,4,3,1,0,1,0,1,1,0,Testing Prompt: 0.01413903514145931
585389,gpt-5,2,1,3,2,0,0,0,0,1,0,0,Testing Prompt: 0.01413903514145931
545047,gpt-5,3,4,3,3,0,0,1,1,1,0,0,Testing Prompt: 0.01413903514145931
207845,gpt-5,3,4,3,2,1,0,0,1,0,0,0,Testing Prompt: 0.01413903514145931
529099,gpt-5,2,1,3,3,0,0,0,0,1,0,0,Testing Prompt: 0.01413903514145931
704786,gpt-5,3,4,1,3,0,0,1,1,1,0,0,Testing Prompt: 0.01413903514145931
534868,gpt-5,1,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.01413903514145931
584423,gpt-5,2,3,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.01413903514145931
575601,gpt-5,2,4,3,2,0,0,1,0,0,1,0,Testing Prompt: 0.01413903514145931
546578,gpt-5,2,2,1,2,0,0,1,0,0,1,0,Testing Prompt: 0.01413903514145931
172253,gpt-5,2,3,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.01413903514145931
253693,gpt-5,2,1,4,3,0,0,0,0,1,0,0,Testing Prompt: 0.01413903514145931
511739,gpt-5,1,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.01413903514145931
190056,gpt-5,2,1,3,2,1,0,0,0,0,0,0,Testing Prompt: 0.01413903514145931
274347,gpt-5,4,4,4,4,0,0,1,1,0,0,0,Testing Prompt: 0.01413903514145931
555531,gpt-5,2,1,1,2,0,0,0,0,0,0,0,Testing Prompt: 0.01413903514145931
607920,gpt-5,2,3,1,2,0,0,0,0,0,1,0,Testing Prompt: 0.01413903514145931
242085,gpt-5,3,2,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.01413903514145931
601728,gpt-5,3,4,1,3,0,0,1,0,1,0,0,Testing Prompt: 0.01413903514145931
291285,gpt-5,4,4,3,4,0,0,1,1,1,1,0,Testing Prompt: 0.01413903514145931
200051,gpt-5,3,3,1,2,0,0,1,0,0,0,0,Testing Prompt: 0.01413903514145931
211179,gpt-5,2,1,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.01413903514145931
242166,gpt-5,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.01413903514145931
225577,gpt-5,3,3,4,4,0,0,0,0,1,0,0,Testing Prompt: 0.01413903514145931
580333,gpt-5,2,1,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.01413903514145931
641013,gpt-5,3,2,3,3,0,0,0,0,1,1,0,Testing Prompt: 0.01413903514145931
561983,gpt-5,3,3,1,3,1,0,0,1,1,1,0,Testing Prompt: 0.01413903514145931
195235,gpt-5,3,2,3,2,0,0,1,0,0,0,0,Testing Prompt: 0.01413903514145931
211283,gpt-5,2,3,4,3,0,0,0,0,1,0,0,Testing Prompt: 0.01413903514145931
558582,gpt-5,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.01413903514145931
240687,gpt-5,3,4,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.01413903514145931
534553,gpt-5,3,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.01413903514145931
257040,gpt-5,3,3,4,3,0,0,1,0,0,1,0,Testing Prompt: 0.01413903514145931
225581,gpt-5,4,4,4,4,1,0,1,0,1,1,0,Testing Prompt: 0.01413903514145931
530371,gpt-5,4,4,1,4,0,0,1,1,0,0,0,Testing Prompt: 0.01413903514145931
226773,gpt-5,3,3,3,3,0,0,0,0,0,1,0,Testing Prompt: 0.01413903514145931
