record_id,Scorer Name,Goal Orientation,Engagement with Evidence,Collaborative Decision-Making,Strategic Planning,Cultural Responsiveness,Parent/Community Engagement,Academic Achievement,Candidate Experience/Expertise,Evaluation,School Culture Fit,call_number,prompt_name
184927,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,1,0,1,0,Testing Prompt: 0.1966265104818985
257325,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.1966265104818985
226773,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,1,1,0,0,Testing Prompt: 0.1966265104818985
231173,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,0,0,0,0,Testing Prompt: 0.1966265104818985
717614,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,0,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
613961,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,0,0,0,0,1,0,Testing Prompt: 0.1966265104818985
217052,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,0,1,0,0,0,1,0,Testing Prompt: 0.1966265104818985
225577,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,0,0,1,0,0,Testing Prompt: 0.1966265104818985
511739,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,1,1,0,0,0,0,0,1,0,Testing Prompt: 0.1966265104818985
600997,us.anthropic.claude-sonnet-4-20250514-v1:0,3,4,2,3,0,0,1,1,1,0,0,Testing Prompt: 0.1966265104818985
218810,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,1,0,0,0,Testing Prompt: 0.1966265104818985
546868,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
215179,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.1966265104818985
190056,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,1,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
505194,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,3,3,0,0,0,0,1,0,0,Testing Prompt: 0.1966265104818985
735055,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,0,1,0,1,0,Testing Prompt: 0.1966265104818985
215108,us.anthropic.claude-sonnet-4-20250514-v1:0,4,2,3,4,0,0,1,0,1,1,0,Testing Prompt: 0.1966265104818985
628747,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,3,3,0,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
225581,us.anthropic.claude-sonnet-4-20250514-v1:0,3,4,2,3,1,0,1,1,0,0,0,Testing Prompt: 0.1966265104818985
543229,us.anthropic.claude-sonnet-4-20250514-v1:0,4,2,2,4,0,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
238025,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,3,0,0,1,0,0,0,0,Testing Prompt: 0.1966265104818985
551252,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,1,1,1,1,1,0,Testing Prompt: 0.1966265104818985
706907,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,1,0,1,1,0,Testing Prompt: 0.1966265104818985
506571,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,3,3,0,0,1,1,0,0,0,Testing Prompt: 0.1966265104818985
219176,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,1,1,1,0,0,0,Testing Prompt: 0.1966265104818985
257040,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,4,2,0,0,1,0,1,1,0,Testing Prompt: 0.1966265104818985
525710,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,1,1,0,1,0,Testing Prompt: 0.1966265104818985
630563,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,4,1,0,0,0,0,0,1,0,Testing Prompt: 0.1966265104818985
543094,us.anthropic.claude-sonnet-4-20250514-v1:0,3,4,3,2,0,0,1,0,0,0,0,Testing Prompt: 0.1966265104818985
546578,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,1,2,0,0,1,0,0,0,0,Testing Prompt: 0.1966265104818985
263413,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,1,1,0,0,Testing Prompt: 0.1966265104818985
264262,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,0,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
590085,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,2,3,0,0,1,1,0,0,0,Testing Prompt: 0.1966265104818985
263864,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,3,3,0,0,0,1,0,1,0,Testing Prompt: 0.1966265104818985
528543,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,0,0,0,0,1,0,Testing Prompt: 0.1966265104818985
200051,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.1966265104818985
174997,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,1,0,0,0,Testing Prompt: 0.1966265104818985
266177,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.1966265104818985
615578,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,1,0,1,1,1,1,0,Testing Prompt: 0.1966265104818985
291285,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,1,0,1,0,Testing Prompt: 0.1966265104818985
586617,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,1,1,1,0,Testing Prompt: 0.1966265104818985
632387,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,2,1,0,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
232366,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,1,2,0,0,1,0,0,0,0,Testing Prompt: 0.1966265104818985
561983,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,3,1,0,1,1,1,1,0,Testing Prompt: 0.1966265104818985
274347,us.anthropic.claude-sonnet-4-20250514-v1:0,4,4,4,4,0,0,1,0,0,0,0,Testing Prompt: 0.1966265104818985
208682,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.1966265104818985
282284,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,0,0,0,0,1,1,0,Testing Prompt: 0.1966265104818985
700128,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.1966265104818985
167524,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,3,3,0,0,0,1,0,1,0,Testing Prompt: 0.1966265104818985
248235,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,4,0,1,1,1,1,1,0,Testing Prompt: 0.1966265104818985
575601,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,1,0,0,1,0,Testing Prompt: 0.1966265104818985
217400,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,2,3,0,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
550903,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,3,4,0,1,1,0,1,1,0,Testing Prompt: 0.1966265104818985
703584,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,2,3,0,0,1,0,0,1,0,Testing Prompt: 0.1966265104818985
211283,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,4,3,0,0,0,0,1,1,0,Testing Prompt: 0.1966265104818985
207845,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,1,0,1,1,0,1,0,Testing Prompt: 0.1966265104818985
643006,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.1966265104818985
503131,us.anthropic.claude-sonnet-4-20250514-v1:0,2,4,1,2,0,0,1,0,0,1,0,Testing Prompt: 0.1966265104818985
248731,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,3,0,0,0,0,1,1,0,Testing Prompt: 0.1966265104818985
172253,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,4,2,0,0,0,0,0,1,0,Testing Prompt: 0.1966265104818985
534868,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,0,0,0,0,1,1,0,Testing Prompt: 0.1966265104818985
505173,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,4,3,0,0,1,1,1,1,0,Testing Prompt: 0.1966265104818985
585389,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,1,1,0,0,Testing Prompt: 0.1966265104818985
558582,us.anthropic.claude-sonnet-4-20250514-v1:0,1,1,3,1,0,0,0,0,1,0,0,Testing Prompt: 0.1966265104818985
512243,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.1966265104818985
557524,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,1,2,0,0,0,1,0,1,0,Testing Prompt: 0.1966265104818985
601747,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,1,0,0,0,0,1,0,0,Testing Prompt: 0.1966265104818985
613126,us.anthropic.claude-sonnet-4-20250514-v1:0,4,3,3,4,0,0,1,0,0,1,0,Testing Prompt: 0.1966265104818985
573597,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,3,1,0,1,0,0,0,0,Testing Prompt: 0.1966265104818985
704896,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.1966265104818985
581720,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,1,0,1,0,0,1,0,Testing Prompt: 0.1966265104818985
534553,us.anthropic.claude-sonnet-4-20250514-v1:0,3,2,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.1966265104818985
253693,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,4,3,0,0,0,0,1,0,0,Testing Prompt: 0.1966265104818985
529099,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
600843,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,0,1,0,0,0,0,0,Testing Prompt: 0.1966265104818985
564167,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,1,0,1,1,1,1,0,Testing Prompt: 0.1966265104818985
591948,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,2,2,0,0,0,0,0,1,0,Testing Prompt: 0.1966265104818985
576254,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,2,2,0,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
584423,us.anthropic.claude-sonnet-4-20250514-v1:0,2,2,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
601728,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,0,0,1,0,0,Testing Prompt: 0.1966265104818985
225646,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,2,2,0,0,0,1,0,1,0,Testing Prompt: 0.1966265104818985
195235,us.anthropic.claude-sonnet-4-20250514-v1:0,2,3,3,2,0,0,1,0,0,0,0,Testing Prompt: 0.1966265104818985
264344,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,3,3,0,0,1,0,0,1,0,Testing Prompt: 0.1966265104818985
614816,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,4,3,0,0,0,0,1,1,0,Testing Prompt: 0.1966265104818985
249730,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,2,2,0,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
238271,us.anthropic.claude-sonnet-4-20250514-v1:0,3,1,3,3,0,0,1,0,1,1,0,Testing Prompt: 0.1966265104818985
607920,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,0,0,1,0,Testing Prompt: 0.1966265104818985
640700,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,1,3,0,0,1,1,0,0,0,Testing Prompt: 0.1966265104818985
555531,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,3,0,0,1,0,0,0,0,Testing Prompt: 0.1966265104818985
529141,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,3,2,0,0,0,0,0,0,0,Testing Prompt: 0.1966265104818985
242166,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,4,3,0,0,0,0,1,1,0,Testing Prompt: 0.1966265104818985
211179,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,1,2,0,0,0,1,0,0,0,Testing Prompt: 0.1966265104818985
556668,us.anthropic.claude-sonnet-4-20250514-v1:0,2,1,4,2,0,0,1,0,1,1,0,Testing Prompt: 0.1966265104818985
248896,us.anthropic.claude-sonnet-4-20250514-v1:0,3,3,2,2,0,0,1,0,0,0,0,Testing Prompt: 0.1966265104818985
